question,adapter_name
피고인은 2019년 3월 13일부터 3월 14일까지 토렌트 프로그램을 이용하여 불법촬영물을 다운로드하고 배포한 혐의로 기소되었습니다. 피고인이 위반한 법률 조항은 무엇인가요?,korean general law
"피고인이 피해자 C에게 8억 원을 투자하면 매달 500만 원을 지급하고, 건물에서 월 3,000만 원의 임대료가 나올 것이라고 속여 7억 5,600만 원을 편취한 행위는 어떤 법률에 의해 처벌받을 수 있나요?",korean general law
피고인이 마약류취급자가 아님에도 불구하고 필로폰을 투약하고 소지한 행위는 어떤 법률 조항에 위반되는가?,korean general law
피고인이 2016년 10월 10일 평택시에서 자동차운전면허 없이 화물차를 운전한 행위는 어떤 법률을 위반한 것인가?,korean general law
피고인은 2013년 9월 21일 혈중알콜농도 0.225% 상태에서 약 50m를 운전한 행위는 어떤 법률을 위반한 것인가?,korean general law
"피고인은 어떤 이유로 피해자를 폭행하였으며, 어떤 물건을 사용하였습니까?",korean general law
피고인이 피해자의 허락 없이 계약금 중 일부를 개인 용도로 사용한 행위는 어떤 범죄에 해당하는가?,korean general law
피고인이 2019년 7월 3일 부산 사상구의 미용실에서 피해자를 폭행한 사건에 대해 형법 제260조 제1항에 따른 처벌은 무엇인가요?,korean general law
피고인은 2015년 4월 2일 광주교도소에서 피해자에게 어떤 행위를 하였는가?,korean general law
피고인이 2016년 5월경부터 2016년 6월 19일까지 D편의점에서 주말 아르바이트를 하면서 피해자 점주가 자리를 비운 틈을 타 총 26회에 걸쳐 약 40만원 상당의 현금을 절취한 행위는 어떤 법률에 위반되는가?,korean general law
피고인은 2018년 8월 9일 술을 마신 상태로 운전한 후 음주측정 요구에 응하지 않은 혐의로 기소되었습니다. 이와 관련된 법 조항은 무엇인가요?,korean general law
피고인은 2016년 12월 18일에 어떤 법을 위반했나요?,korean general law
피고인이 피해자의 얼굴을 때려 골절 등의 상해를 입힌 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 피해자에게 돈을 주지 않으면 죽여버리겠다고 협박한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 피해자 회사의 권리행사를 방해한 행위는 무엇인가요?,korean general law
피고인 A은 술에 취해 피해자 E을 쇠막대기로 폭행한 사건에서 적용될 수 있는 법 조항은 무엇인가요?,korean general law
피고인이 2012년 9월 29일 성남시 중원구에서 피해자가 운영하는 편의점의 입간판을 손괴한 행위는 어떤 법률에 해당하는가?,korean general law
피고인이 피해자에게 욕설을 하며 택시 영업업무를 방해한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인은 2013년 4월 11일 호남고속도로에서 약 18km 구간 동안 무면허로 화물차를 운전한 행위는 어떤 법을 위반한 것인가?,korean general law
피고인이 2015년 9월 2일 경산시의 LPG 충전소에서 피해자 C를 폭행하여 상해를 입힌 사건에 대해 형법 제257조 제1항에 따라 어떤 처벌을 받을 수 있나요?,korean general law
피고인은 2017년 1월 28일부터 1월 30일까지 인터넷 중고나라 사이트를 통해 피해자들에게 거짓말을 하여 돈을 입금받은 행위는 어떤 법률을 위반한 것인가요?,korean general law
피고인이 2017년 9월 12일 서울 강남구 SRT 수서역 지하 1층 남자 화장실에서 소변기 등을 파손한 행위는 어떤 법률에 의해 처벌받을 수 있나요?,korean general law
피고인은 2016년 7월 15일 남양주시 C건물 1층에서 어떤 이유로 CCTV 카메라를 손괴하였습니까?,korean general law
피고인이 2018년 1월 20일에 저지른 음주운전과 관련된 법적 처벌은 무엇인가요?,korean general law
피고인은 2014년 5월 18일 경북 D시장에서 피해자 E의 요청에 화가 나 어떤 행위를 하였는가?,korean general law
피고인은 2015년 4월 5일 찜질방에서 잠든 피해자의 팬티 속으로 손을 넣어 음부를 만져 추행한 혐의로 어떤 법률 조항에 따라 처벌받을 수 있나요?,korean general law
피고인은 2018년 2월 2일 서울 관악구 주차장에서 어떤 행위를 하였나요?,korean general law
피고인이 2012년 7월 9일 혈중알콜농도 0.173% 상태에서 약 110km 구간을 운전한 행위는 어떤 법률을 위반한 것인가?,korean general law
피고인은 음주운전 의심 상황에서 음주측정 요구에 불응한 혐의로 어떤 법률 조항을 위반했는가?,korean general law
피고인은 2017년 10월 8일 인천 서구의 빌라신축현장에서 어떤 범죄를 저질렀나요?,korean general law
피고인이 피해자 B와 C에게 가한 폭행에 대해 적용되는 법 조항은 무엇인가요?,korean general law
피고인이 2012년 8월 28일 거제시에서 음주운전한 사실에 대해 어떤 법률 조항이 적용되는가?,korean general law
피고인이 마약류취급자가 아님에도 불구하고 필로폰을 투약하고 제공한 행위는 어떤 법률 조항에 위반되는가?,korean general law
피고인 A은 처형에게 어떤 이유로 모욕죄로 기소되었나요?,korean general law
"피고인은 2015년 3월 31일 안산시 상록구 사동에서 혈중알콜농도 0.161% 상태로 차량을 운전하였을 때, 적용되는 법 조항은 무엇인가요?",korean general law
피고인은 2014년 3월 15일 동두천 중앙역 앞에서 피해자 C와 다투다가 어떤 상해를 입혔습니까?,korean general law
피고인은 2014년 12월 30일에 어떤 행위로 인해 피해자에게 상해를 입혔나요?,korean general law
"피고인이 교차로에서 신호를 위반하여 다른 차량과 충돌하여 피해자에게 상해를 입힌 경우, 피고인이 위반한 법률 조항은 무엇인가요?",korean general law
피고인이 교도관의 직무집행을 방해한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인은 어떤 상태에서 차량을 운전하였습니까?,korean general law
"피고인은 2016년과 2019년에 어떤 법을 위반하였으며, 그에 따른 처벌은 무엇인가요?",korean general law
"피고인이 2020년 5월 13일 음주운전으로 적발된 사실과 관련하여, 피고인이 도로교통법 제44조 제1항을 몇 회 위반하였는가?",korean general law
피고인이 2015년 7월부터 10월까지 인터넷 도박 사이트에서 바카라 도박을 한 행위는 어떤 법률에 위반되는가?,korean general law
피고인이 졸음운전으로 중앙선을 침범하여 발생한 교통사고로 인해 여러 피해자가 상해를 입고 한 명이 사망한 사건에서 피고인의 법적 책임은 무엇인가요?,korean general law
"피고인이 아반떼 승용차를 운전하여 차로를 변경할 때 주의의무를 다하지 않아 BMW X1 승용차와 충돌한 후 현장 조치를 취하지 않고 도주한 경우, 관련 법률 조항은 무엇인가?",korean general law
피고인이 2011년 7월 31일 의정부시의 호프집에서 피해자의 옷장에서 현금을 절취한 행위는 어떤 법률에 의해 처벌받을 수 있나요?,korean general law
피고인이 피해자 주식회사 파워라이텍의 직원을 기망하여 엘이디등의 부품을 교부받은 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인은 피해자의 집에 어떻게 침입하였습니까?,korean general law
피고인이 혈중알콜농도 0.183%의 술에 취한 상태에서 운전하여 발생한 사고에 대해 적용되는 법률 조항은 무엇인가요?,korean general law
피고인은 2021년 1월 14일 인천 옹진군의 식당에서 어떤 행위를 하였는가?,korean general law
피고인이 바디프랜드 팬텀 안마의자를 렌탈약정을 체결한 후 이를 판매한 행위는 어떤 범죄에 해당하는가?,korean general law
"피고인은 피해자에게 어떤 신체적 상해를 입혔으며, 이에 해당하는 법적 조항은 무엇인가?",korean general law
피고인은 자동차운전면허 없이 혈중알코올농도 0.118%의 술에 취한 상태로 약 310m 구간에서 자동차를 운전하였다. 이에 해당하는 법적 처벌은 무엇인가?,korean general law
피고인은 2021년 7월 30일 양산시에서 혈중알코올농도 0.058%의 상태로 약 500m 구간을 운전한 행위는 어떤 법률을 위반한 것인가요?,korean general law
피고인이 2014년 5월 15일과 16일에 피해자들의 치마 속 신체 부위를 촬영한 행위는 어떤 법률을 위반한 것인가요?,korean general law
피고인은 어떤 행위로 인해 피해자의 편의점 영업업무를 방해하였습니까?,korean general law
"피고인은 2018년 9월 24일 순천시 B에 있는 C 대합실 내 D 매장에서 어떤 물건을 절취하였고, 그 가치는 얼마인가요?",korean general law
피고인이 혈중알코올농도 0.135퍼센트의 술에 취한 상태에서 약 1km 구간을 운전한 행위는 어떤 법률을 위반한 것인가?,korean general law
피고인이 피해자에게 소주병으로 상해를 가한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인은 2012년 10월 16일 제주시 D호프집에서 피해자 G에게 어떤 행위를 하였나요?,korean general law
"피고인이 2013년 7월 30일 피해자에게 거짓말하여 2,000만 원을 편취한 행위는 어떤 법률을 위반한 것인가요?",korean general law
피고인이 경찰관의 직무집행을 방해한 행위는 어떤 법률 조항에 해당하나요?,korean general law
"피고인이 음주운전으로 처벌받은 전력이 있는 상태에서 다시 음주운전을 한 경우, 적용되는 법 조항은 무엇인가요?",korean general law
피고인이 2016년 2월 13일 아산시의 한 식당에서 음식이 늦게 나온다는 이유로 소란을 피우며 식당 운영 업무를 방해한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 2017년 4월 초순경 수원시 팔달구 공용화장실에서 피해자 D를 강제로 추행한 행위는 어떤 법률에 의해 처벌받을 수 있습니까?,korean general law
피고인이 혈중알코올농도 0.075%의 술에 취한 상태로 약 500m 구간에서 자동차를 운전한 행위는 어떤 법을 위반한 것인가?,korean general law
피고인은 2017년 8월 29일 대구 달서구의 C 서비스센터에서 피해자 D에게 어떤 행위를 하였는가?,korean general law
피고인은 어떤 행위로 경찰공무원의 정당한 직무집행을 방해하였는가?,korean general law
"피고인이 진로변경 금지 구간에서 진로를 변경하여 교통사고를 일으킨 경우, 어떤 법률 조항에 따라 처벌받을 수 있나요?",korean general law
피고인은 피해자의 집에 찾아가 가위로 피해자를 찔러 상해를 입혔습니다. 이에 해당하는 법적 조항은 무엇인가요?,korean general law
피고인이 2014년 9월경 사채업자로부터 돈을 빌리면서 피해자의 승용차를 담보로 인도한 행위는 어떤 범죄에 해당하는가?,korean general law
피고인이 2020년 10월 3일 구리시에서 택시기사와 다방 운영자를 폭행하고 업무를 방해한 사건에 대해 설명하시오.,korean general law
피고인은 2012년 8월 4일 대구 달서구의 편의점 앞에서 경찰관에게 어떤 행위를 하였는가?,korean general law
피고인은 피해자를 폭행하여 사망에 이르게 한 혐의로 어떤 법 조항에 따라 처벌받을 수 있습니까?,korean general law
피고인이 피해자를 속여 선불금을 받은 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 2018년 7월 16일에 혈중알코올농도 0.076%의 상태로 운전한 행위는 어떤 법률 조항을 위반한 것인가?,korean general law
피고인이 중국 국적의 피해자 C와 D에게 맥주병으로 상해를 가한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 친구 D과 몸싸움을 하던 중 이를 말리려던 피해자 E의 머리를 얼음통으로 내리쳐 두피 열상을 가한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인은 2013년 7월 28일부터 8월 7일까지 피해자 C이 관리하는 빈 주택에 침입한 사실이 있습니까?,korean general law
피고인이 피해자에게 손도끼를 들고 '죽여버리겠다'고 말한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 혈중알콜농도 0.230% 상태에서 약 3km를 운전한 행위는 어떤 법률을 위반한 것인가?,korean general law
피고인은 2017년 10월 15일 밤에 어떤 상태로 어떤 구간에서 운전하였습니까?,korean general law
피고인이 혈중알코올농도 0.201%의 술에 취한 상태로 약 500m를 운전한 행위는 어떤 법률을 위반한 것인가?,korean general law
"피고인은 피해자에게 성관계를 하지 않을 것을 약속하고 모텔에 투숙한 후, 피해자를 강제로 성폭행하였습니다. 이 행위는 어떤 죄에 해당합니까?",korean general law
피고인은 어떤 이유로 피해자의 목을 잡아 흔들어 폭행하였습니까?,korean general law
피고인이 술에 취해 경찰관의 정당한 직무집행을 방해한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 마약류 취급자가 아님에도 불구하고 메트암페타민을 매수하고 투약한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 피해자의 성기를 손으로 만지며 성희롱 발언을 한 사건에서 적용된 법 조항은 무엇인가요?,korean general law
피고인은 2020년 3월 1일 인천 남동구에서 피해자 C를 강제추행한 혐의로 기소되었다. 이에 대한 법적 근거는 무엇인가?,korean general law
피고인이 피해자의 퇴거요구에 불응한 행위는 어떤 법률 조항을 위반한 것인가?,korean general law
피고인은 경찰관의 교통사고 예방 업무를 방해한 혐의로 기소되었습니다. 피고인이 경찰관 E를 폭행한 행위는 어떤 법 조항에 해당하나요?,korean general law
피고인은 2017년 5월 12일 청주시 청원구에서 초등학생들이 하교하는 것을 보고 어떤 행위를 하였습니까?,korean general law
피고인이 2014년 5월 28일 대구 서문시장 앞 횡단보도에서 피해자 B를 폭행한 사건에 적용되는 법 조항은 무엇인가요?,korean general law
피고인은 2020년 5월 9일 김포시의 유흥주점에서 경찰관을 폭행하여 어떤 법을 위반했는가?,korean general law
피고인이 2013년 8월 4일 대구 동구에서 자동차운전면허 없이 음주 상태로 약 3km 구간을 운전한 행위는 어떤 법률 조항을 위반한 것인가?,korean general law
피고인은 2016년 12월 6일 자동차운전면허 없이 어느 구간에서 차량을 운전하였습니까?,korean general law
"피고인은 2019년 12월 30일에 어떤 범죄를 저질렀으며, 이전에 같은 범죄로 어떤 처벌을 받았나요?",korean general law
피고인이 인터넷 중고나라 게시판에 허위로 갤럭시S6 휴대전화를 판매한다고 게시하고 피해자들로부터 물품대금을 송금받아 편취한 행위는 어떤 법률을 위반한 것인가?,korean general law
피고인이 D 노인정 컨테이너 사무실 안에 인분을 뿌려 재물을 손괴한 행위는 어떤 법률 조항에 해당하는가?,korean general law
"피고인이 음주 상태에서 운전하여 교통사고를 일으킨 경우, 피고인에게 적용되는 법률 조항은 무엇인가요?",korean general law
피고인이 2019년 7월 5일 음주운전으로 적발된 사실에 대해 법적으로 어떤 처벌을 받을 수 있는가?,korean general law
피고인이 피해자의 머리를 맥주병으로 때려 상해를 가한 행위는 어떤 법률 조항에 해당하는가?,korean general law
"피고인은 2017년 9월 16일 서울 강동구에서 혈중알콜농도 0.167% 상태로 약 200m 구간을 운전하였는데, 이는 어떤 법률을 위반한 것인가?",korean general law
피고인은 2020년 1월 16일 밤 11시 50분경 수원시 팔달구에서 권선구까지 약 100m 구간을 혈중알코올농도 0.095% 상태로 BMW 승용차를 운전한 행위는 어떤 법률을 위반한 것인가?,korean general law
"피고인이 술에 취해 피해자의 얼굴을 때려 상해를 입힌 경우, 적용되는 법 조항은 무엇인가요?",korean general law
피고인이 2022년 4월 20일 광주 광산구에서 혈중알코올농도 0.110% 상태로 약 1.5km 구간을 운전한 행위는 어떤 법률을 위반한 것인가?,korean general law
피고인은 2015년 5월 16일 혈중알코올농도 0.05%의 상태로 약 7km를 운전한 사실이 있습니다. 이 행위는 어떤 법률 조항을 위반한 것인가요?,korean general law
피고인은 2014년 9월 7일 서울 노원구에서 어떤 행위로 형법 제245조를 위반했나요?,korean general law
피고인은 2019년 7월 9일 시흥시에서 피해자 E를 폭행한 혐의로 어떤 법률 조항에 따라 처벌받을 수 있습니까?,korean general law
피고인이 2015년 6월 10일 서울 강남구에서 노동조합장과 말다툼 중 폭행한 사건에 대해 형법 제260조 제1항에 따라 어떤 처벌을 받을 수 있는가?,korean general law
피고인이 피해자를 매단 채 차량을 후진하여 상해를 입힌 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 술에 취해 경찰관에게 욕설을 하고 폭행하며 직무집행을 방해한 행위는 어떤 법률 조항에 해당하나요?,korean general law
피고인이 피해자 D와 피해자 E의 소유물을 절취한 행위는 어떤 법률 조항에 해당하는가?,korean general law
"피고인이 주식대금과 카드 대금을 횡령한 사건에서, 피고인이 어떤 법률 조항을 위반하였는가?",korean general law
"피고인이 피해자에게 욕설을 하며 폭행하여 전치 2주간의 상해를 입힌 경우, 이는 어떤 법률 조항에 해당하는가?",korean general law
피고인이 음주운전으로 인해 발생한 교통사고에서 어떤 법적 책임을 지게 되는가?,korean general law
피고인은 2021년 7월 18일 경북 의성군에서 혈중알코올농도 0.168% 상태로 차량을 운전한 혐의로 어떤 법을 위반했나요?,korean general law
"피고인은 2020년 12월 27일 부산 해운대구의 펜션에서 술에 취해 다른 투숙객과 시비가 붙었고, 경찰관에게 모욕적인 발언을 하여 모욕죄와 공무집행방해죄로 기소되었습니다. 피고인이 저지른 행위는 어떤 법 조항에 해당하나요?",korean general law
피고인이 2017년 8월 9일 혈중알코올농도 0.186% 상태에서 운전한 행위는 어떤 법을 위반한 것인가?,korean general law
피고인은 2013년 5월 9일 완도수산고등학교 앞 도로에서부터 청해진 주유소 앞 도로까지 약 200m를 자동차운전면허 없이 운전한 사실이 있습니까?,korean general law
"피고인은 피해자와의 다툼 중 피해자의 휴대폰을 빼앗다가 피해자를 밀어 넘어뜨려 폭행하였고, 이후 카카오톡 단체대화방에서 피해자를 모욕하였습니다. 이에 대한 법적 처벌은 무엇인가요?",korean general law
"피고인이 피해자에게 뷔페 음식값을 지불할 의사나 능력이 없음에도 불구하고, 필리핀 이재민 돕기 행사를 이유로 거짓말하여 재산상 이익을 취한 행위는 어떤 법률 조항에 해당하는가?",korean general law
"피고인이 2019년 10월 13일 혈중알코올농도 0.147% 상태에서 운전하여 교통사고를 일으킨 경우, 피고인이 위반한 법률은 무엇인가요?",korean general law
피고인이 피해자의 집에서 퇴거 요구를 받았음에도 불구하고 나가지 않은 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인은 헌혈카페에서 피해자의 휴대폰을 어떻게 절취했나요?,korean general law
피고인이 피해자에게 회칼을 이용해 협박한 사건에서 적용된 법 조항은 무엇인가요?,korean general law
피고인은 교통사고 현장에서 경찰관의 직무집행을 방해한 행위에 대해 어떤 법 조항을 위반했나요?,korean general law
"피고인이 중앙선을 침범하여 교통사고를 일으킨 경우, 이에 대한 법적 책임은 무엇인가요?",korean general law
피고인이 2016년 12월 31일에 저지른 음주운전 행위에 대해 어떤 법 조항이 적용되는가?,korean general law
"피고인은 피해자 E의 휴대폰 케이스 안에 있던 현금 40,000원을 절취하고, 피해자 D의 주거에 침입하여 맥주 3병을 절취한 혐의로 어떤 법률 조항에 따라 처벌받을 수 있습니까?",korean general law
피고인이 피해자 D에게 멱살을 잡아당기고 손으로 밀치는 등 폭행을 한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 법정에서 증인으로 출석하여 허위 진술을 한 행위는 어떤 법률 조항에 해당하는가?,korean general law
"피의자 A은 2014년 1월 4일에 어떤 상태로 운전하였으며, 이전에 몇 번의 음주운전 전과가 있었습니까?",korean general law
"피고인은 피해자에게 어떤 방식으로 상해를 입혔으며, 이에 적용되는 법 조항은 무엇인가요?",korean general law
피고인은 2018년 1월 27일과 28일 사이에 어떤 범죄를 저질렀습니까?,korean general law
피고인은 2019년 8월 2일 부천시에서 어떤 상태로 차량을 운전했습니까?,korean general law
"피고인이 2018년 10월 5일 강릉시 주점에서 피해자 D를 폭행한 사실과 관련하여, 어떤 법 조항에 따라 처벌받을 수 있습니까?",korean general law
피고인이 노래방에서 종업원 E를 폭행하고 포스 기계에 물을 뿌려 업무를 방해한 행위는 어떤 법률에 따라 처벌받을 수 있습니까?,korean general law
피고인은 어떤 행위로 인해 성매매알선등행위의처벌에관한법률 제19조 제2항 제1호를 위반했나요?,korean general law
피고인은 어떤 행위로 경찰관의 정당한 직무 집행을 방해하였습니까?,korean general law
피고인이 피해자의 양복 상의를 찢어 손괴한 행위는 어떤 법률에 의해 처벌받을 수 있습니까?,korean general law
피고인은 피해자 D에게 어떤 행위를 하여 상해를 입혔습니까?,korean general law
피고인이 피해자의 재물을 횡령한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 마약류취급자가 아님에도 불구하고 메트암페타민을 투약한 행위는 어떤 법률을 위반한 것인가?,korean general law
피고인이 2014년 4월 10일 혈중알코올농도 0.117% 상태로 운전한 행위는 어떤 법률 조항을 위반한 것인가?,korean general law
피고인은 어떤 과실로 인해 피해자를 사망에 이르게 하였습니까?,korean general law
피고인은 2013년 5월 1일 밤 11시 46분경 부천시 원미구 상동에서 어떤 상태로 얼마 동안 운전하였습니까?,korean general law
피고인이 택시기사와 시비가 생겨 경찰서에서 피해자의 이마를 때린 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 피해자 E의 명예를 훼손한 행위는 어떤 법 조항에 해당하는가?,korean general law
피고인이 피해자에게 돈놀이를 하여 돈을 크게 불려주겠다고 거짓말을 하여 돈을 빌린 행위는 어떤 법률을 위반한 것인가?,korean general law
피고인이 2015년 2월 20일 서울 마포구에서 피해자 D를 강제로 추행한 행위는 어떤 법률에 의해 처벌받을 수 있나요?,korean general law
피고인은 피해자에게 어떤 이유로 폭행을 가했습니까?,korean general law
피고인이 2014년 6월 28일 서울 종로구 종각역 사거리에서 집회참가자들과 함께 도로를 점거하여 차량 소통을 방해한 행위는 어떤 법률을 위반한 것인가요?,korean general law
"피고인이 유통업에 종사하면서 술과 안주의 대금을 지불할 의사나 능력이 없었음에도 불구하고, 피해자를 속여 610,000원 상당의 술과 안주를 제공받아 식음한 행위는 어떤 법률 조항에 해당하는가?",korean general law
피고인이 음주운전 및 교통사고로 인한 치상 혐의로 기소된 사건에서 피고인이 위반한 법률 조항은 무엇인가요?,korean general law
피고인은 피해자의 택시 진로를 방해한 후 어떤 행위를 하였습니까?,korean general law
피고인이 피해자에게 약 12주간의 치료를 요하는 상해를 입힌 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인은 피해자 C를 폭행하고 상해를 입혔습니다. 피고인의 행위는 어떤 법률 조항을 위반하였습니까?,korean general law
피고인은 피해자에게 어떤 행위를 하여 성폭력범죄의처벌등에관한특례법 제13조를 위반하였는가?,korean general law
피고인은 피해자를 기망하여 돈을 교부받은 행위에 대해 어떤 죄를 범했는가?,korean general law
피고인은 2021년 3월 5일 대전 동구에서 혈중알콜농도 0.082% 상태로 약 2km 구간을 운전한 행위는 어떤 법률을 위반한 것인가?,korean general law
피고인이 마약류취급자가 아님에도 불구하고 필로폰을 투약한 행위는 어떤 법률을 위반한 것인가?,korean general law
피고인은 언제 어디서 자동차운전면허 없이 차량을 운전하였나요?,korean general law
피고인은 2018년 7월 8일 인천 남동구에서 어떤 상태로 운전했습니까?,korean general law
피고인은 어떤 행위로 인해 형법 제284조 및 형법 제283조 제1항에 따라 처벌받을 수 있는가?,korean general law
피고인이 2017년 6월 1일부터 2017년 6월 29일까지 서울 관악구에서 성매매업소를 운영하며 성매매를 알선한 행위는 어떤 법률을 위반한 것인가요?,korean general law
"피고인은 2015년 4월 21일 경남 통영시에서 혈중알코올농도 0.179% 상태로 약 5km 구간을 운전하였는데, 이는 어떤 법률을 위반한 것인가요?",korean general law
"피고인이 자전거를 운전하던 중 교통사고를 일으켜 피해자에게 상해를 입힌 경우, 피고인의 주의의무 위반에 대한 법적 책임은 무엇인가?",korean general law
피고인은 피해자의 휴대전화 수리 업무를 방해한 행위로 어떤 법률 조항을 위반했나요?,korean general law
피고인이 교통사고로 인해 피해자가 사망한 사건에서 피고인의 주의의무 위반에 대해 설명하시오.,korean general law
피고인이 피해자에게 욕설을 하고 소란을 피워 피해자들의 식당 영업 업무를 방해한 행위는 어떤 법률 조항에 해당하는가?,korean general law
"피고인은 2013년 6월 19일 김해시의 공원 주차장에서 청소년에게 돈을 주기로 약속하고 성교를 하였는데, 이는 어떤 법률을 위반한 것인가?",korean general law
"피고인이 대리운전을 하던 중 손님과 모텔에 투숙한 후, 손님의 남편에게 폭행을 당하자 이에 대항하여 주먹으로 얼굴을 때려 상해를 입힌 사건에서 피고인이 적용받을 수 있는 법률 조항은 무엇인가요?",korean general law
피고인이 피해자에게 지하수개발 시추 공사대금을 지급할 의사나 능력이 없으면서 공사를 맡기고 대금을 지급하지 않은 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인은 2013년 8월 2일 강원 양양군에서 어떤 범죄를 저질렀나요?,korean general law
피고인이 2015년 7월 17일 시흥시 정왕동에서 혈중알콜농도 0.109% 상태로 약 100m 구간을 운전한 행위는 어떤 법률 조항을 위반한 것인가요?,korean general law
피고인이 2019년 5월 12일 여수시에서 혈중알콜농도 0.136% 상태로 음주운전을 한 행위는 어떤 법률 조항에 위반되는가?,korean general law
피고인은 피해자와 말다툼 중 피해자의 얼굴을 때려 상해를 입혔습니다. 이에 해당하는 법 조항은 무엇인가요?,korean general law
"피고인은 어떤 과실로 인해 교통사고를 일으켰으며, 그 결과 피해자들에게 어떤 상해를 입혔는가?",korean general law
피고인이 2013년 8월 15일 부산 동래구에서 혈중알코올농도 0.242% 상태로 약 2km 구간을 운전한 행위는 어떤 법률 조항을 위반한 것인가?,korean general law
피고인이 피해자 B로부터 도급계약 체결을 이유로 돈을 받아 생활비와 술값 등에 소비한 행위는 어떤 죄에 해당하는가?,korean general law
피고인이 피해자 D에게 욕설을 하여 모욕한 행위는 어떤 법률에 의해 처벌받을 수 있는가?,korean general law
피고인은 2019년 8월 21일 서귀포시의 한 편의점 앞길에서 경찰관에게 폭언을 하고 폭행을 가하여 경찰관의 직무집행을 방해하고 상해를 입혔습니다. 이에 해당하는 법적 조항은 무엇인가요?,korean general law
피고인이 동업약정 및 피해자 회사의 이사의 지위에서 몰측기를 생산하거나 판매하지 말아야 할 임무를 위반한 행위는 어떤 법률 조항에 해당하는가?,korean general law
피고인이 신호를 위반하여 오토바이와 충돌한 사고에 대해 교통사고처리특례법 및 형법에 따른 법적 책임은 무엇인가요?,korean general law
피고인은 2014년 3월 3일 대전 서구 탄방동에서 택시기사와 경찰관에게 어떤 행위를 하여 형법 제311조를 위반하였습니까?,korean general law
