question,answer
この法律の目的は何ですか？,性的な姿態を撮影する行為等による被害の発生及び拡大を防止することです。
この法律の目的は何ですか？,この法律の目的は、脱炭素成長型経済構造への円滑な移行を推進し、国民生活の向上及び国民経済の健全な発展に寄与することです。
令和五年度分の震災復興特別交付税の額の決定時期及び交付時期はいつですか？,令和五年九月及び令和六年三月に決定し、交付します。
人事院が制定した管理監督職勤務上限年齢による降任等に関する規則の施行日はいつですか？,令和五年四月一日
令和五年三月予備費使用に係る低所得者世帯給付金とは何ですか？,新型コロナウイルス感染症及びそのまん延防止のための措置の影響並びに原油価格及び物価が高騰している状況に鑑み、令和五年三月二十八日に閣議で決定された給付金で、低所得者世帯に対し三万円を上限として支給されるものです。
令和四年法律第十七号に基づき、令和四年六月に支給する期末手当に関する特例措置について定めた規則は何ですか？,人事院規則
この規則は何に基づいて制定されたのですか？,国家公務員法（昭和二十二年法律第百二十号）に基づいて制定されました。
内閣が指定した激甚災害の具体例を3つ挙げてください。,1. 平成二十九年六月二十五日から令和四年一月十八日までの間の地滑りによる災害で、熊本県球磨郡五木村の区域に係るもの。2. 令和四年七月八日及び同月九日の豪雨による災害で、熊本県球磨郡球磨村の区域に係るもの。3. 令和四年九月五日及び同月六日の暴風雨による災害で、長崎県五島市の区域に係るもの。
人事院総裁が個人情報保護に関する権限や事務を委任する際に必要な手続きは何ですか？,委任を受ける職員の官職、委任する権限や事務、委任の効力の発生する日を官報で公示する必要があります。
人事院は何に基づいて年齢六十年以上退職者等の定年前再任用に関する規則を制定しましたか？,国家公務員法及び国家公務員法等の一部を改正する法律に基づいて制定しました。
私的独占の禁止及び公正取引の確保に関する法律に基づく処分の手続において、使用される言語は何ですか？,日本語
運転免許取得者等検査の方法の区分にはどのようなものがありますか？,認知機能に関する検査と、運転技能に関する検査の2つの区分があります。
人事院が制定した俸給月額に関する規則は何に基づいているか？,一般職の職員の給与に関する法律（昭和二十五年法律第九十五号）
人事院規則一一―八（職員の定年）の改正において、医師および歯科医師の定年の特例が適用される施設にはどのようなものがありますか？,刑務所、少年刑務所、拘置所、少年院、少年鑑別所、婦人補導院、入国者収容所、地方出入国在留管理局、国立ハンセン病療養所、地方厚生局、地方厚生支局、国の行政機関の内部部局。
警護規則の目的は何ですか？,警護に関し必要な基本的事項を定めることにより、警護の適切かつ確実な実施を図ることを目的とする。
人事院が制定した規則の趣旨は何ですか？,この規則は、給与法附則第十項、第十二項又は第十三項の規定による俸給に関し必要な事項を定めるものとする。
自衛隊法に基づき、故安倍晋三国葬儀における自衛隊の礼式はどのように定められているか？,儀じょう、列及び弔砲とし、儀じょうに際しては弔銃を行う。
地球温暖化対策の推進に関する法律に基づく地域脱炭素化促進事業計画の認定を申請するためには、どのような書類が必要ですか？,申請者の定款、事業報告書、施設の位置を示す図面、所有権を証明する書類などが必要です。
令和九年に開催される国際園芸博覧会の準備及び運営のために必要な特別措置に関する法律に基づき、人事院が制定した規則の趣旨は何ですか？,この規則は、令和九年国際園芸博覧会特措法に規定する職員の博覧会協会への派遣に関し必要な事項を定めるものです。
地球温暖化対策の推進に関する法律第六十四条第四項に基づき、環境大臣の権限は誰に委任されるか？,地方環境事務所長に委任される。
資金決済に関する法律施行令の目次に記載されている章の数はいくつですか？,4つです。
令和九年に開催される国際園芸博覧会の準備及び運営のために必要な特別措置に関する法律の施行に伴い、どのような省令が定められましたか？,令和九年に開催される国際園芸博覧会の準備及び運営のために必要な特別措置に関する法律の施行に伴う自衛隊法施行規則等の特例に関する省令が定められました。
プラスチック使用製品産業廃棄物等の排出事業者が再資源化を実施する際に考慮すべき事項は何ですか？,排出事業者は、プラスチック使用製品産業廃棄物等の再資源化を行う際に、リチウムイオン蓄電池の混入防止、熱回収の効率性、生活環境の保全などを考慮する必要があります。
基盤確立事業実施計画の認定を受けようとする者は、どのような書類を提出しなければならないか？,氏名及び住所を記載した申請書と、基盤確立事業実施計画などの書類を添付しなければならない。
沖縄振興特別措置法に基づく観光地形成促進措置実施計画の認定申請に必要な書類は何ですか？,登記事項証明書と貸借対照表及び損益計算書です。
道路交通法施行令に基づく大型自動車免許の欠格事由等の特例に係る教習の課程の指定に関する規則の指定基準は何か？,道路交通法施行令第三十二条の七第二号、第三十二条の八第二号、第三十四条第二項、第四項、第五項、第七項、第八項及び第十項の規定に基づく。
プラスチックに係る資源循環の促進等に関する法律に基づく設計認定の申請書はどの様式を使用する必要がありますか？,様式第一
プラスチックに係る資源循環の促進等に関する法律第三十二条に基づく分別収集物の基準は何ですか？,最大積載量が一万キログラムの自動車に積載できる容量、圧縮されていること、特定のプラスチック使用製品廃棄物が混入していないことなどです。
特定プラスチック使用製品提供事業者が、プラスチック使用製品廃棄物の排出を抑制するために行うべき取組の一つは何ですか？,消費者に特定プラスチック使用製品を有償で提供することや、消費者が商品を購入する際にその製品を使用しないように誘引するための手段として景品を提供することなどです。
特定複合観光施設区域整備法に基づくカジノ事業者又はカジノ施設供用事業者が行う設置運営事業等の監査及び会計に関する命令は、どのように定められていますか？,特定複合観光施設区域整備法に基づくカジノ事業者又はカジノ施設供用事業者が行う設置運営事業等の監査及び会計に関する命令は、監査人事業監査報告の作成、会計の原則、事業年度、勘定科目及び財務諸表、区分経理の方法、財務報告書の記載事項等に関する詳細な規定を含んでいます。
無人航空機登録検査機関に関する省令はどの法律の規定に基づいて定められていますか？,航空法（昭和二十七年法律第二百三十一号）の規定に基づいて定められています。
情報通信技術を利用する方法による国の歳入等の納付に関する法律施行規則の趣旨は何ですか？,国土交通省の所管する法令に係る歳入等の納付を、情報通信技術を利用して自ら納付する方法または指定納付受託者に委託して納付する方法により行わせる場合について定めています。
高圧ガス保安法等の一部を改正する法律の施行に伴う経過措置に関する省令は何を定めていますか？,小規模事業用電気工作物に係る届出の手続きを定めています。
無人航空機の登録講習機関及び登録更新講習機関に関する省令はどの法律に基づいて定められていますか？,航空法（昭和二十七年法律第二百三十一号）に基づいて定められています。
二千二十五年日本国際博覧会に協賛するための競輪の開催回数の特例について、年間で一競輪場当たり何回まで開催できるか？,三回以内
供給確保計画の認定を受けようとする者は、どのような書類を国土交通大臣に提出しなければならないか？,申請者の定款の写し、登記事項証明書、最近三期間の事業報告の写し、貸借対照表、損益計算書、確実に講じられる見込みがあることを証する書類、暴力団員等に該当しないことを証する書類を提出しなければならない。
プラスチックに係る資源循環の促進等に関する法律施行規則の第一条に基づき、再商品化計画の認定を申請する際に添付すべき書類は何ですか？,分別の基準を証する書類、適合することを証する書類、該当しないことを証する書類、収集・運搬施設の適合を証する書類、処分施設の許可を証する書類、再商品化の許可を証する書類の写し、収集区域を示す図面などです。
農林水産物及び食品の輸出の促進に関する法律に基づく省令で定義される「子会社」とはどのような事業者ですか？,中小企業者がその発行済株式の総数、出資口数の総数若しくは出資価額の総額の50%以上を有する事業者、または中小企業者の役員若しくは従業員がその役員の総数の半数以上を占める事業者です。
地球温暖化対策の推進に関する法律第六十四条第四項に基づき、国土交通大臣の権限は誰に委任されるか？,地方整備局長及び北海道開発局長に委任される。
無人航空機操縦士試験機関の指定を受けるためにはどのような書類が必要ですか？,申請書には、試験事務を行う者の名称、住所、代表者の氏名、事務所の名称及び所在地、無人航空機操縦士試験員の数、試験事務の開始予定日などを記載し、定款、財産目録、事業計画書、役員の履歴、試験用設備の概要などの書類を添付する必要があります。
日本海溝・千島海溝周辺海溝型地震に係る地震防災対策の推進に関する特別措置法施行令第九条に基づく防災のための集団移転促進事業に関する特別措置はいつ施行されましたか？,令和四年六月十七日
溶融亜鉛めっき鉄線に対して課する不当廉売関税に関する証明書の交付申請はどのように行う必要がありますか？,申請者は、別記様式による申請書に、亜鉛めっき鉄線が電気めっきによる工程を経て製造したものである旨を証する書面を添えて、経済産業大臣に提出しなければならない。
地方公共団体情報システムの標準化に関する法律第二条第一項に規定する標準化対象事務を定める政令に基づき、デジタル庁令・総務省令で定める事務にはどのようなものがありますか？,児童手当の支給、保育の実施、住民基本台帳に関する事務、出入国管理に関する事務、個人番号の指定、住居表示に関する事務、選挙人名簿に関する事務、戸籍に関する事務、学齢簿に関する事務、健康増進に関する事務、児童扶養手当の支給、生活保護の決定及び実施、障害児通所給付費の支給、介護保険に関する事務、国民健康保険の賦課及び徴収、高齢者の医療の確保、国民年金の支給などが含まれます。
令和九年に開催される国際園芸博覧会の準備及び運営のために必要な特別措置に関する法律施行規則第一条に基づく指定申請者が提出しなければならない書類は何ですか？,定款、登記事項証明書、社員の氏名及び略歴を記載した書類（一般社団法人の場合）、評議員の氏名及び略歴を記載した書類（一般財団法人の場合）、指定の申請に関する意思の決定を証する書類、財産目録及び貸借対照表、事業計画書及び収支予算書、役員の氏名、住所及び略歴を記載した書類、博覧会業務の実施に関する基本的な計画書、博覧会業務を適正かつ確実に実施できることを証する書類。
地球温暖化対策の推進に関する法律第六十四条第四項に基づく省令の施行日はいつですか？,令和四年四月一日
安定供給確保支援法人の指定を受けるために必要な書類は何ですか？,定款の写し及び登記事項証明書、指定の申請に係る意思の決定を証する書類、役員及び安定供給確保支援業務に関する事務に従事する職員の氏名及び略歴を記載した書類、安定供給確保支援業務の実施に関する計画、安定供給確保支援業務を適正かつ確実に実施できることを証する書類、指定申請法人が法第三十一条第二項各号に該当しない旨を誓約する書類、役員が法第三十一条第二項第一号に該当しない者である旨を当該役員が誓約する書類、指定申請法人の最近三期間の事業報告の写し、貸借対照表及び損益計算書並びに最終の財産目録、安定供給確保支援業務に関して知り得た秘密を確実に保持するための措置に関する書類
農林水産物及び食品の輸出の促進に関する法律第四十一条第一項第二号に基づき、どのような法人が農林漁業者の組織する法人として定められていますか？,農業協同組合、農業協同組合連合会、農事組合法人、漁業協同組合、漁業協同組合連合会、森林組合、森林組合連合会、及び農林漁業者やこれらの法人が出資または拠出する法人で農林漁業の振興を目的とするもの。
支払基金が予備費を使用するためにはどのような手続きが必要ですか？,支払基金は、厚生労働大臣の承認を受けなければ予備費を使用することができません。使用の理由、金額及び積算の基礎を明らかにした書類を提出する必要があります。
地域における医療及び介護の総合的な確保の促進に関する法律に基づく支払基金電子処方箋管理業務に関する省令はいつ施行されるか？,令和五年一月一日から施行される。
医師法第十七条の二第一項に基づき、大学において医学を専攻する学生が臨床実習を開始する前に修得すべき知識及び技能を評価するために大学が共用する試験を実施する機関は誰が指定するか？,厚生労働大臣
特定水産動植物等の国内流通の適正化等に関する法律で、特定第一種水産動植物として定められているものは何ですか？,あわび、なまこ
環境と調和のとれた食料システムの確立のための環境負荷低減事業活動の促進等に関する法律に基づき、農林水産大臣が定める事業活動は何ですか？,農林漁業に由来する環境への負荷の低減に相当程度資するものとして農林水産大臣が定める事業活動です。
電気事業法に基づく省令で定義される「第一区分費用」とは何ですか？,一般送配電事業等の運営に係る費用のうち、主に人件費であって、一般送配電事業者が第三条第一項の規定により算定する費用を指します。
高等学校卒業程度認定審査は誰が行うのですか？,文部科学大臣が行います。
供給確保計画の認定を受けようとする者は、どのような書類を提出しなければならないか？,申請者の定款の写し、最近三期間の事業報告の写し、供給確保計画の措置を証する書類、他の法令に基づく許認可等を証する書類、暴力団員等に該当しないことを証する書類を提出しなければならない。
国際卓越研究大学の認定を申請するためには、どのような書類を文部科学大臣に提出する必要がありますか？,別記様式第一号による申請書を文部科学大臣に提出する必要があります。
安定供給確保支援法人の指定を受けるために必要な書類は何ですか？,定款の写し、登記事項証明書、役員及び職員の氏名及び略歴を記載した書類、指定の申請に関する意思の決定を証する書類、基本的な計画、適正かつ確実に実施できることを証する書類、誓約する書類、事業報告の写し、貸借対照表及び損益計算書、秘密保持に関する書類
農林物資の品質等に関する用語はどの法律に基づいて定められますか？,日本農林規格等に関する法律
教育職員等による児童生徒性暴力等の防止等に関する法律施行規則の第一条では、免許管理者がどのような場合に通知を行うと定めていますか？,免許管理者は、児童生徒性暴力等を行ったことにより免許状が失効したとき、または免許状取上げの処分を行ったときに、その旨を授与権者に通知する。
溶融亜鉛めっき鉄線に対して課する不当廉売関税に関する政令第一条第一項第一号に基づく証明書は、どのような場合に税関長に提出する必要がありますか？,輸入申告時、蔵入れ申請等の場合、または特例申告の場合に税関長に提出する必要があります。
手形法及び小切手法に基づき、どのような手形交換所が指定されているか？,電子交換所（一般社団法人全国銀行協会が設置するもの）が指定されている。
令和四年度分の地方交付税の交付額の特例に関する省令は、どの法律のどの条項に基づいて定められましたか？,地方交付税法第十六条第二項
医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律第一条の五第二項に基づく情報提供の方法は何ですか？,地域における医療及び介護の総合的な確保の促進に関する法律第十二条の二第三項の規定による情報の提供、ファクシミリ装置を用いた送信、電子メールの送信又はインターネットを利用した情報の提供その他これらに類する方法です。
教育公務員特例法施行規則第一条において、教員研修計画に定める事項として挙げられている内容は何ですか？,公立の小学校等の校長及び教員の研修実施者と当該校長及び教員の研修に協力する大学その他の関係機関との連携に関する事項、研修の効率的な実施に当たって配慮すべき事項、研修の効果を検証するための方途に関する事項、その他研修実施者が必要と認める事項。
経済施策を一体的に講ずることによる安全保障の確保の推進に関する法律に基づき、供給確保促進円滑化業務の実施に関する事項を定める命令の第十五条第一項では何が定められていますか？,供給確保促進円滑化業務の実施体制に関する事項が定められています。
年金制度の機能強化のための国民年金法等の一部を改正する法律の施行に伴い、受給権者が日本年金機構に提出しなければならない届書に記載する事項は何ですか？,受給権者の氏名、生年月日及び住所、個人番号又は基礎年金番号、老齢厚生年金又は障害厚生年金の年金証書の年金コード、配偶者の氏名及び生年月日、配偶者が厚生年金保険法第四十四条第四項第一号から第三号までのいずれかに該当するに至った年月日及びその事由。
令和四年七月二十五日に任期が満了する参議院議員の通常選挙における在外投票の時間の特例はどのように定められていますか？,在外投票の時間の特例は、各在外公館等の投票記載場所ごとに異なり、具体的な投票期間と時間が別表に定められています。
労働者協同組合法施行規則の第一章では何について定められているか？,組合員名簿における電磁的記録等について定められている。
旅券法施行規則に基づく申請方法にはどのようなものがありますか？,書面手続と電子手続があります。
新型コロナウイルス感染症対策地方税減収補塡特別交付金に関する省令は、どの法律の規定に基づいて定められていますか？,地方税法（昭和二十五年法律第二百二十六号）附則第六十六条第二項から第四項まで、第六十七条第二項及び第三項、第七十条第一項及び第二項並びに第七十七条の規定に基づいて定められています。
重要施設周辺及び国境離島等における土地等の利用状況の調査及び利用の規制等に関する法律施行規則の施行日はいつですか？,令和四年九月二十日
性行為映像制作物への出演に関する法律の目的は何ですか？,性をめぐる個人の尊厳が重んぜられる社会の形成に資するため、性行為映像制作物への出演に係る被害の防止及び出演者の救済を図ることです。
特定電気通信役務提供者の損害賠償責任の制限及び発信者情報の開示に関する法律施行規則において、発信者情報として定められているものは何ですか？,発信者の氏名、住所、電話番号、電子メールアドレス、アイ・ピー・アドレス、ポート番号、移動端末設備からのインターネット接続サービス利用者識別符号、SIM識別番号、SMS電話番号などが含まれます。
この政令は何に基づいて制定されたのですか？,農地中間管理事業の推進に関する法律（平成二十五年法律第百一号）第二十六条の二の規定に基づいて制定されました。
非訟事件手続法第九十条第八項及び第九十一条第五項並びに家事事件手続法第百四十六条の二第二項の規定による公告はどのように行われるか？,官報により行うものとする。
財務大臣は、東京地下鉄株式会社の株式の売払いについてどのような契約方法を採用できるとされていますか？,あらかじめ公示した価格により随意契約によることができる。
高圧ガス保安法等の一部を改正する法律（令和四年法律第七十四号）の施行日はいつですか？,令和五年三月二十日
借地借家法施行規則において、電子情報処理組織を使用する方法として定められている具体的な方法は何ですか？,送信者の電子計算機と受信者の電子計算機を電気通信回線で接続し、受信者の電子計算機にファイルを記録する方法、または送信者の電子計算機に記録された情報を電気通信回線を通じて閲覧し、受信者の電子計算機に記録する方法です。
この政令に基づく不当廉売関税の税率は、大韓民国と中国を原産地とする特定貨物に対してそれぞれ何パーセントですか？,大韓民国を原産地とするものは24.5%、中国を原産地とするものは41.7%です。
取引デジタルプラットフォーム提供者が消費者の利益保護のために講じた措置の開示方法は何ですか？,消費者が常に容易に閲覧できるように表示し、明確かつ平易な表現を用いること。
令和四年八月一日から同月二十二日までの間に発生した災害は何によるものですか？,豪雨及び暴風雨によるものです。
預託等取引に関する法律に基づく内閣府令で定める期間はどれくらいですか？,三月です。
地方公共団体の議会の議員及び長の選挙期日等の臨時特例に関する法律に基づいて制定された政令は何に関するものですか？,選挙人名簿の登録や署名収集の禁止期間など、選挙に関連する規定の取扱いに関するものです。
国家公務員退職手当法附則第十二項第一号に規定する内閣官房令で定める職員はどのような業務に従事する者ですか？,守衛、巡視等の監視、警備等の業務に従事する者、および用務員、労務作業員等の庁務又は労務に従事する者です。
内閣は、特定外来生物による生態系等に係る被害の防止に関する法律の一部を改正する法律に基づき、何を制定しましたか？,この政令を制定しました。
令和四年度分の震災復興特別交付税の額の決定時期はいつですか？,令和四年九月及び令和五年三月です。
相続等により取得した土地所有権の国庫への帰属に関する法律に基づく政令の施行日はいつですか？,令和五年四月二十七日
特別委員の任期は何年ですか？,三年です。
農山漁村の活性化のための定住等及び地域間交流の促進に関する法律第五条第十一項に基づく政令で定められた施設は何ですか？,農林水産物等の販売施設
内閣はどの法律に基づいてこの政令を制定しましたか？,情報通信技術を利用する方法による国の歳入等の納付に関する法律（令和四年法律第三十九号）
経済施策を一体的に講ずることによる安全保障の確保の推進に関する法律に基づき、特定重要物資として指定されている物資の一例を挙げてください。,抗菌性物質製剤、肥料、永久磁石、工作機械及び産業用ロボット、航空機の部品、半導体素子及び集積回路、蓄電池、インターネットその他の高度情報通信ネットワークを通じて電子計算機を他人の情報処理の用に供するシステムに用いるプログラム、可燃性天然ガス、金属鉱産物、船舶の部品。
土地等利用状況審議会の部会長の役割は何ですか？,部会長は当該部会の事務を掌理します。
労働者協同組合が行うことができない事業は何ですか？,労働者派遣事業です。
重要施設周辺及び国境離島等における土地等の利用状況の調査及び利用の規制等に関する法律に基づき、政令で定める施設にはどのようなものがありますか？,核原料物質、核燃料物質及び原子炉の規制に関する法律に規定する製錬施設、加工施設、発電用原子炉施設、使用済燃料貯蔵施設、再処理施設、廃棄物埋設施設及び廃棄物管理施設、並びに空港法に規定する空港があります。
令和四年度における高齢者の医療の確保に関する法律に基づく負担調整基準率は何パーセントですか？,百分の五十五・七〇六
令和四年七月十四日から同月二十日までの間の豪雨による災害に対して内閣が適用した措置は何ですか？,法第十条に規定する措置並びに宮城県宮城郡松島町、黒川郡大郷町及び遠田郡美里町、熊本県球磨郡球磨村並びに鹿児島県姶良市の区域に係る激甚災害に対して、法第五条及び第二十四条第二項から第四項までに規定する措置が適用されました。
環境と調和のとれた食料システムの確立のための環境負荷低減事業活動の促進等に関する法律に基づく政令で、林業・木材産業改善資金の償還期間は最大何年以内と定められていますか？,十二年以内
内閣が制定した政令は何に基づいていますか？,沖縄振興特別措置法等の一部を改正する法律（令和四年法律第七号）の施行に伴い、及び関係法律の規定に基づいています。
