prompt,completion,split
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the third P in marketing?
<|im_start|>Answer
","The third P in marketing is ""place"", which deals with activities that make the product available to target customers.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What countries of origin are featured in Table 5.7?
<|im_start|>Answer
",Table 5.7 focuses on Inbound FDI into Korea by country of origin.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What services does Samil PwC provide?
<|im_start|>Answer
","Samil PwC provides industry-focused assurance, tax, and advisory services, including IFRS.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How did big business react to the rising role of civil society in scrutinizing business activities?
<|im_start|>Answer
","Big business in South Korea was initially uncomfortable with the rising civil society meddling in its informal business practices. With the return of conservative polity, big business started to work closely with the government and objected to society's enhanced role in scrutinizing business activities.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are there any consequences for companies that have enjoyed tax benefits based on job-creation and experience a net decrease in employment?
<|im_start|>Answer
","Yes, companies that have enjoyed tax benefits based on job-creation will be subject to tax assessment in cases where there is a net decrease in employment within the subsequent two years in comparison to the year that the relevant tax credit was obtained.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What measures do regulators take to minimize potential side effects of hedge funds?
<|im_start|>Answer
",Regulators impose a 400% cap on leverage and derivatives trading of hedge funds against their assets as a way to minimize their potential side effects.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the types of entities that a subsidiary may be set up in Korea?
<|im_start|>Answer
",A subsidiary may be set up in the form of a stock company (Chusik Hoesa) or a limited company (Yuhan Hoesa).<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are some factors contributing to the high cost of living in Korea for expatriates?
<|im_start|>Answer
","The high cost of living for expatriates in Korea is due to the soaring property prices, particularly in desirable locations like the expatriate districts and Gangnam, as well as the expensive cost of Western food ingredients and cuisine.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What were the challenges faced by Korea in the economic environment of the 1990s?
<|im_start|>Answer
","In the 1990s, Korea faced various challenges in its economic environment, including new protectionism from advanced industrial countries, particularly the United States and the European Union, as well as competition from emerging economic superstars in Southeast Asia such as Indonesia, Thailand, and Malaysia. Additionally, Korea had to contend with increasing social and political tensions, such as labor and management conflicts, and a growing discrepancy between the ""haves"" and ""have-nots."" The country also experienced worsening infrastructural imbalances, particularly in the high-tech industries, where there was an underdevelopment of small and medium-sized firms.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the conditions for hiring foreign workers in Korea?
<|im_start|>Answer
","A business must meet the following conditions to hire foreigners in Korea: (1) Number of Korean employees (the company is required to hire at least five Korean workers) and (2) Previous year's revenue (depending on jobs, different work visas can be issued for foreigners).<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the non-bank financial institutions in Korea?
<|im_start|>Answer
","Non-bank financial institutions include mutual savings banks, credit unions, and credit-specialized financial companies.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How has the economic regime in Korea changed over time?
<|im_start|>Answer
",The economic regime in Korea has changed from labor-intensive to capital-intensive and now to knowledge-intensive.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is Taylor & Francis?
<|im_start|>Answer
",Taylor & Francis is a publishing company.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What types of investment opportunities have been available for foreigners in Korea in the past?
<|im_start|>Answer
","In the past, most opportunities for foreigners have involved establishing labor-intensive manufacturing or processing operations geared toward the export market.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the name of the website that provides information on advertising expenditure in South Korea?
<|im_start|>Answer
",The website that provides information on advertising expenditure in South Korea is Statista.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the difference between direct and indirect exporting?
<|im_start|>Answer
","Direct exporting involves selling products directly to customers in a foreign country, while indirect exporting involves selling products through intermediaries such as agents, distributors, or franchises.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the source for the International Trade and Market Access data?
<|im_start|>Answer
",World Trade Organization.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the audit requirements for stock companies in Korea?
<|im_start|>Answer
",Stock companies in Korea that are listed or have total assets of KRW 100 billion or more as of the end of the preceding fiscal year are required to appoint an external auditor within four months from the commencement of each fiscal year.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the restrictions on business combinations involving market dominators in Korea?
<|im_start|>Answer
","Market dominators are prohibited from obstructing the business activities of other firms, including unjustifiably setting, changing, or maintaining prices or supplies of goods and services, acting against consumer interests, and obstructing the entrance of other firms into the market.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who is L'Oreal and what is their significance in the cosmetics industry?
<|im_start|>Answer
","L'Oreal is the largest cosmetics supplier in the world, with a history of over 100 years of cosmetics manufacturing and distribution, 34 international brands, and more than 80,000 employees worldwide.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the minimum wage standard set by the Ministry of Labor in 2012?
<|im_start|>Answer
","The minimum wage standard was set at KRW 4,580 per hour in 2012.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What compensation systems are discussed in Table 10.3?
<|im_start|>Answer
",Table 10.3 covers compensation systems in Korean companies.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are some of the most popular co-working spaces in Seoul?
<|im_start|>Answer
","Some of the most popular co-working spaces in Seoul include Google Campus Seoul, We Work, Heyground, and Idea Factory.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the financial accounting standards in Korea?
<|im_start|>Answer
","The financial accounting standards in Korea consist of Korean International Financial Reporting Standards (K-IFRS), Accounting Standards for Non-Public Entities, and Accounting Standards for Special Topics established by the Korea Accounting Standards Board.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How did the Park administration aim to fill the strategic void left by the Japanese capitalist class?
<|im_start|>Answer
",The Park administration embarked on an ambitious project to promote national capital in the form of a powerful domestic industrial class capable of being the state's ally in a time of national crisis.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who authored the paper ""Economic crisis and its social consequences""?
<|im_start|>Answer
","Moon, H., Lee, H., & Yoo, G.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What supports the growth of foreign-owned R&D labs in Korea?
<|im_start|>Answer
",Technology sourcing activities from external and firm-internal sources.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the location of PwC's office in Guangzhou, China?
<|im_start|>Answer
",PwC China<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the current performance management system in Korea?
<|im_start|>Answer
","Competency-based performance appraisals with more systematic evaluations, such as multiraters and annual pay management by objectives.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How do customers pay the value-added tax?
<|im_start|>Answer
",Customers do not pay the tax directly; they only pay for the price of goods that already include value-added tax. Sellers of goods and services report their revenue and sales to the appropriate tax office and pay the tax on behalf of customers.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What kind of forces are seeking sociopolitical reforms in Korea?
<|im_start|>Answer
",Indigenous societal forces are seeking sociopolitical reforms in Korea.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is President Moon trying to bring in Korea?
<|im_start|>Answer
","President Moon is trying to bring systemic transparency by formalizing informal channels of mediation between and among state, society and market interrelationships.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the term proposed as an alternative to collectivism in the East Asian context?
<|im_start|>Answer
","The term ""network society"" is proposed as an alternative to collectivism in the East Asian context, as it captures the prevalence of informal ties and networks more accurately.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who are the top targets of outbound M&As in South Korea by value?
<|im_start|>Answer
",The top targets of outbound M&As in South Korea by value are not provided in the figures.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the significance of the 'miracle of the Han River' in the context of Korean development?
<|im_start|>Answer
","The 'miracle of the Han River' refers to the rapid economic development that South Korea experienced in the second half of the 20th century. It is significant as it demonstrates the country's ability to transform itself from a largely agricultural economy into a highly industrialized one, producing some of the world's leading companies in various sectors. However, this development has also led to problems, such as income inequality and the challenges of maintaining growth in a more mature economy.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the Korean Standard Industrial Classification (KSIC) system?
<|im_start|>Answer
",The Korean Standard Industrial Classification (KSIC) system is a classification system used in Korea to categorize industries.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is ""Doing Business in Korea"" about?
<|im_start|>Answer
","""Doing Business in Korea"" is a book edited by Fabian Jintae Froese that likely provides information and guidance on how to conduct business in South Korea.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How did the informal system produce better results than any formal system during the early phase of Korean economic development?
<|im_start|>Answer
","The informal system produced better results due to personal and singular attention from the highest office in the country, which helped expedite important decisions.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How has the understanding of national cultures evolved over time?
<|im_start|>Answer
","The conventional approach of classifying cultures into static categories has been criticized as no longer sufficient for explaining national cultures in a satisfactory way. This is because it treats national cultures as static constructs, which does not account for the dynamic changes that countries experience over time. There is a need for a reevaluation of national cultures and the inclusion of a dynamic view of culture.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What year was the content copyrighted?
<|im_start|>Answer
",2012<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the significance of ""The Future of Freedom"" in the context of F.A. Hayek's work?
<|im_start|>Answer
","It is one of his most influential works, helping to establish his reputation as a leading advocate for individual liberty and free markets.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the current state of the global economy and how has it affected Korea's economy and financial markets?
<|im_start|>Answer
","The global economy is still struggling to recover from the 2008 financial crisis, which has been further hindered by the Euro zone debt crisis and the tsunami in Japan. As a result, financial markets remain volatile, and the outlook for recovery remains uncertain. Despite these challenges, Korea's economy and financial markets have demonstrated strong resilience.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Where is PwC's office located in Bratislava, Slovakia?
<|im_start|>Answer
",PwC Slovakia<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the role of the Immigration Information Division in Korea?
<|im_start|>Answer
",The Immigration Information Division in Korea is responsible for providing information related to immigration.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is moonROK and what services does it provide?
<|im_start|>Answer
",moonROK is a company that provides news and information to the English-speaking K-Pop community around the world.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are loss carrybacks allowed for Korean companies?
<|im_start|>Answer
","Generally, loss carrybacks are not allowed for Korean companies. However, small and medium-sized enterprises (SMEs) can carryback a NOL for one year.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the trend in the number of outbound M&A transactions in South Korea from 2008 to 2018?
<|im_start|>Answer
","The number of outbound M&A transactions in South Korea has been increasing for the last ten years, as shown in Figure 7.9.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the penalty for failing to file a tax return in a timely manner or maintain adequate records in Korea?
<|im_start|>Answer
","The penalty for failing to file a tax return in a timely manner or maintain adequate records in Korea is equivalent to 20 percent of the calculated tax or 0.07 percent of gross revenue, whichever is greater.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the total number of inbound FDI notifications to Korea in service industries from 2005-2009, 2010-2014, and 2015-2017?
<|im_start|>Answer
","The total number of inbound FDI notifications to Korea in service industries from 2005-2009, 2010-2014, and 2015-2017 is 30,963.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What was the outcome of Korea's economic development strategy?
<|im_start|>Answer
","Korea was able to achieve full-employment conditions, which created the basis for a mass-participatory economy with reasonable systemic efficiency.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What government resources are available for potential exporters to Korea?
<|im_start|>Answer
","The US Department of Commerce's International Trade Administration offers Export.gov, the US Department of Agriculture's Foreign Agriculture Service, the UK Trade and Investment department's Department for International Trade, and KOTRA's ""Invest Korea"" consultation service are available for potential exporters to Korea.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are anti-tax haven rules and when do they apply?
<|im_start|>Answer
",Anti-tax haven rules apply to Korean companies that have invested in a company incorporated in a foreign country with an average effective tax rate of 15% or less on taxable income for the past three years. These rules are intended to regulate a company that has made overseas investments of an abnormal nature.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What other types of business entities are permitted in Korea?
<|im_start|>Answer
","Other types of business entities permitted in Korea include: Yuhan Chegim Hoesa, Hapmyong Hoesa, Hapja Hoesa, and Partnership.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the meaning behind the company name 'moonROK'?
<|im_start|>Answer
","The word 'moon' in Korean means 'door', and 'Republic of Korea' is commonly abbreviated as R.O.K. Therefore, moonROK is the 'door to Korea'.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the requirement for changing the retirement benefit scheme in Korea?
<|im_start|>Answer
",The option for changing the retirement benefit scheme requires the consent of the majority of the labor union or the majority of workers in the absence of a labor union.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What does skimming mean in terms of pricing strategy?
<|im_start|>Answer
",Skimming means that companies charge a relatively high price to profit from the attractiveness and newness of a product.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Where can I find information on opening a bank account and conducting financial transactions in Korea?
<|im_start|>Answer
",Financial Hub Center website: http://www.fnhubkorea.kr/fhk_eng/main.jsp<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are reimbursement of business expenses, including social membership costs and entertainment expenses incurred by an employee for business purposes, taxable?
<|im_start|>Answer
","No, these are non-taxable.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the unemployment rate in Korea in 2011?
<|im_start|>Answer
",The unemployment rate in Korea in 2011 was about 3.4%.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the advantages and disadvantages of indirect exports in the Korean market?
<|im_start|>Answer
","The advantages of indirect exports in the Korean market include a reduction of risks due to language barriers and cultural differences, as well as participating in a higher local network when local staffs are hired. The disadvantages are the risk of having an unreliable partner/agency, a lack of control, and losing resources due to miscommunication with the agent, for example, while renegotiating a contract.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who is responsible for paying the value-added tax?
<|im_start|>Answer
",Customers who purchase goods and services are responsible for the value-added tax.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who is the author of ""The Citizens' movement in Korea""?
<|im_start|>Answer
","Shin, K. Y.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the definition of exports according to the provided information?
<|im_start|>Answer
","Exports are the goods and services produced in one country and purchased by people in another country. It is the exchange of goods or services between two countries, where one of them is the producer.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the distribution of inbound FDI into Korea for establishing factories by subnational region, and what are the corresponding amounts in billion US$?
<|im_start|>Answer
",The distribution of inbound FDI into Korea for establishing factories by subnational region is as follows:<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who is the author of ""The making of Minjung: Democracy and the politics of representation in South Korea""?
<|im_start|>Answer
","Namhee, L.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the main topic of Chapter 12?
<|im_start|>Answer
","Chapter 12 provides an overview of how foreign entrepreneurs can start a business in Korea, including the rules and regulations and general advice on doing business in Korea.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the process for obtaining a start-up visa in Korea?
<|im_start|>Answer
","To obtain a start-up visa in Korea, one needs to gain enough points in the required items of the OASIS start-up visa point system. The programs offered by the Seoul Business Agency (Seoul Global Center), such as OASIS-4 (foreigner start-up university), OASIS-5 (business coaching), OASIS-6 (start-up idea audition), and OASIS-7 (incubation), can help in obtaining these points. After obtaining the required points, foreigners can establish a business by following the process outlined in Figure 12.3 (Seoul Global Center, 2015).<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are relocation and moving expense reimbursements taxable?
<|im_start|>Answer
","No, these are non-taxable.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the title of the article published in Thunderbird International Business Review in 2014 by In-Koo Yang?
<|im_start|>Answer
","The title of the article is ""The informal organization of Korean companies: Implications for Korean MNCs.""<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the source for the information on GDP per capita in South Korea for the year 2015?
<|im_start|>Answer
",World Bank.<|im_end|>,train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the title of the journal article by Lee, P.Y., Lin, H.T., Chen, H.H., & Shyr, Y.H. published in 2011?
<|im_start|>Answer
","The title of the journal article is ""Dynamic capabilities exploitation of market and hierarchy governance structure: An empirical comparison of Taiwan and South Korea.""<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the title of the article by Leung, Ang, and Tan that discusses intercultural competence?
<|im_start|>Answer
","The article is titled ""Intercultural competence.""<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who are the authors of the article ""Higher growth through the blue ocean strategy: Implications for economic policy""?
<|im_start|>Answer
","The authors are Lindic, J., Bavdaz, M., and Kovacic, H.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How has the attitude towards foreign brand names changed in Korea?
<|im_start|>Answer
","While Koreans used to avoid foreign brand names, many nowadays associate foreign goods with premium images.<|im_end|>",train
"<|im_start|>system
You are an bunisee law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the title of the article by Van Nooden published in Nature in 2016?
<|im_start|>Answer
",South Korea stretches lead in research investment.<|im_end|>,train
