Question,Answer
"Where is PwC's office located in Florham Park, USA?",PwC US
"What is the location of PwC's office in Houston, USA?",PwC US
"Where is PwC's office located in Bratislava, Slovakia?",PwC Slovakia
"What is the name of PwC's office in Beijing, China?",PwC China
"Where is PwC's office located in San Diego, USA?",PwC US
"What is the location of PwC's office in San Francisco, USA?",PwC US
"Where is PwC's office located in Shanghai, China?",PwC China
"What is the name of PwC's office in San Jose, USA?",PwC US
"Where is PwC's office located in London, UK?",PwC UK
"What is the location of PwC's office in Guangzhou, China?",PwC China
"Where is PwC's office located in Calgary, Canada?",PwC Canada
"What is the name of PwC's office in Toronto, Canada?",PwC Canada
"Where is PwC's office located in Sydney, Australia?",PwC Australia
"What is the location of PwC's office in Wroclaw, Poland?",PwC Poland
Where is PwC's office located in Hong Kong?,PwC Hong Kong
"What is the name of PwC's office in Taipei, Taiwan?",PwC Taiwan
"Where is PwC's office located in Cleveland, USA?",PwC US
"What is the location of PwC's office in Detroit, USA?",PwC US
What is the contact information for the Strategy Leader Deal Business Seoul Office in Korea?,The contact information for the Strategy Leader Deal Business Seoul Office in Korea is as follows:
What is the size of the Republic of Korea?,"The Republic of Korea occupies 38,300 square miles (99,400 square kilometers)."
What is the population of Korea?,"Korea has a population of over 50 million people, including approximately one million registered foreigners."
What is the capital of Korea?,Seoul is the capital of Korea.
How many provinces and cities does Korea have?,"Korea is comprised of nine provinces and six main cities - Seoul, Busan, Gwangju, Daejon, Daegu, and Incheon - which have provincial status."
What is the climate like in Korea?,"The Korean climate has four distinct seasons. Spring and fall are very pleasant with mild temperatures. During the summer, temperatures can reach up to 95° to 100°F (35° to 38°C). Winter temperatures average 18° to 34°F (-7° to 1°C) with moderate snowfall. Average annual rainfall ranges from 45 to 50 inches (115 to 125 centimeters), of which almost one-half occurs during the monsoon season in July and August."
Is Korea densely populated?,"Yes, Korea is one of the most densely populated countries in the world."
What is Korea's ranking in patent cooperation treat applications?,Korea ranks 5th in patent cooperation treat applications.
Which countries rank higher than Korea in patent cooperation treat applications?,"The US, Japan, Germany, and China rank higher than Korea in patent cooperation treat applications."
What is one of Korea's strengths in terms of resources?,Korea's strength in information and telecommunications technology is one of its resources.
How does Korea rank in terms of internet users?,Korea ranks 1st in mobile broadband penetration and 4th in fixed broadband penetration.
What is Korea's literacy rate?,Korea's literacy rate is over 98 percent.
How do Korean new entrants in the manufacturing sector compare in terms of education?,The majority of new entrants in the manufacturing sector in Korea have at least a high school level of education.
How many international property rights applications did Korea record in 2010?,Korea recorded the 4th largest number of international property rights applications in the world during 2010.
What is one of Korea's highest university enrollment ratios compared to?,Korea has one of the world's highest university enrollment ratios among OECD countries.
How does Korea's competitiveness come from its skilled labor force?,"Korea's competitiveness comes from its skilled labor force, which has made Korea one of the world leaders in industries such as shipbuilding, auto vehicle manufacturing, and steel making."
What is the literacy rate in Korea?,Korea has a literacy rate of over 98 percent.
How does Korea's literacy rate compare to other countries?,Korea's literacy rate is one of the highest scores in the world.
What is the structure of the school system in Korea?,"The school system in Korea is modeled after the U.S. educational system, with six years of elementary school and three years of middle (secondary) school education being free and compulsory, followed by three years of high school education."
Is education free for expatriate children in Korea?,"No, education is not free for expatriate children in Korea."
How many foreign schools are there in Korea?,There are a total of 45 foreign schools in Korea.
Where are the highest concentration of foreign schools located in Korea?,The highest concentration of foreign schools is found in Seoul and Busan.
What languages are used in foreign schools in Korea?,Most of the foreign schools use English as the language of teaching.
Are there any specific requirements for admission to foreign schools for children of expatriate employees in Korea?,"No, there is no specific requirement for admission to foreign schools for children of expatriate employees in Korea having valid foreign passports."
What is the website for InvestKorea's Life in Korea?,www.investkorea.org/
What are some of the comprehensive systems in Korea?,"Healthcare, telecommunications, housing, health, and educational systems."
How are major cities in Korea connected?,Expressways and Korea Train eXpress (KTX).
Where can I find information on opening a bank account and conducting financial transactions in Korea?,Financial Hub Center website: http://www.fnhubkorea.kr/fhk_eng/main.jsp
"How is Korea's telecommunications system, including mobile telecommunications?","Generally efficient, with almost every Korean having a mobile device and about half using smart phones."
What percentage of the Korean population is connected via Internet?,Approximately 80%.
What percentage of Koreans are SNS users?,50%.
How would you describe Korean people?,"Very hard working and family oriented, with human relations often playing an important role."
What is the percentage of foreign residents in Korea and what is the expected figure by 2050?,"2.5% of the total population, expected to reach 10% in 2050."
When did Korea fully open its doors to foreigners?,About a decade ago.
What is Korea's stance on multiculturalism and services for foreign families?,Proactively supports multiculturalism and provides a variety of services for the convenience of foreign families.
What was the main strategy of the Korean government in promoting economic growth during the early stages of development?,The Korean government promoted the import of raw materials and technology at the expense of consumer goods and encouraged savings and investment over consumption.
How did Korea achieve one of the fastest recoveries from the 2008 global recession?,"Korea achieved one of the fastest recoveries from the 2008 global recession through various economic reforms, including greater openness to foreign investment and imports."
What was Korea's GDP growth rate in 2010 and 2011?,Korea's GDP grew 6.3% in 2010 and 3.6% in 2011.
"What was Korea's per capita income in 2009, 2010, and 2011?","Korea's per capita income rose from USD17,041 in 2009 to USD20,562 in 2010 and further to USD22,489 in 2011."
How has Korea's ranking in global exports changed from 2010 to 2011?,"Korea became the world's 7th largest exporter in 2011, up from 9th in 2010."
What percentage of Korea's GDP was represented by exports in 2001 and 2011?,Exports represented 38% of GDP in 2001 and over 57% in 2011.
What is the current state of Chaebols in Korea?,"Chaebols are now more focused on their core businesses, have much sounder balance sheets, and transparent management."
What is the economic concentration of Chaebols in Korea?,"Top 10 Chaebols represent 25% of the country's mining and manufacturing industrial output, while top 100 Chaebols represent almost 50% of the industrial output."
What is Korea's focus in terms of products and industries?,"Korea's focus is on higher-quality, value-added products and the high technology sector."
What are some high-technology products that account for a significant portion of Korea's exports?,"Semiconductors, computers, wireless communication devices, automobiles, and shipbuilding accounted for 33 percent of the nation's total exports during 2011."
What role do the government and controlling families play in Korea's economy?,"The government controls or dominates certain major industries, while most companies are small and closely held by controlling families."
How have Chaebols contributed to Korea's economy over the past five decades?,Chaebols have played a pivotal role in the nation's industrialization over the last five decades.
"What happened to Korean firms, including Chaebols, after the Asian financial crisis in 1997?","After the Asian financial crisis in 1997, a number of Korean firms, including Chaebols, were put under intense scrutiny."
How has Korea's economy changed since it joined the trillion dollar club of foreign trade in 2011?,"Since joining the trillion dollar club of foreign trade in 2011, subsidiary business swaps and capital structure improvement plans have been well-implemented."
What is the Korean government's approach to developing the service sector and reducing the gap between manufacturing and services?,"The Korean government has undertaken five rounds of extensive measures to boost the service sector since 2008. The government's 2009 plan to develop services included healthcare, education, green financing, software, and tourism. In addition, the government released industry-specific policies to nurture promising service industries in 2010, 2011, and 2012 with a focus on job creation by those industries. Highlights of the government's 2012 plan include promoting foreign investment in local hospitals in free economic zones, R&D tax credits for 11 knowledge-based service sectors, and expanding tax benefits for service businesses in the foreign investment zones."
What is the value-added strategy in core industries in Korea?,"The value-added strategy in core industries in Korea involves obtaining high competency in industries such as shipbuilding, automobile, and steel making through high technological development supported by the government. Companies are focusing on the development of high value-added products and services, such as human-friendly vehicles, specialized ships, and advanced materials."
What is the Emissions Trading Scheme (ETS) in South Korea and when did it become mandatory for certain installations and firms?,"The Emissions Trading Scheme (ETS) in South Korea is a cap-and-trade system that aims to reduce greenhouse gas emissions. From 2015, participation in the ETS became mandatory for installations emitting 25,000 tonnes of carbon dioxide and firms emitting 125,000 tonnes of carbon dioxide annually. Smaller entities continue with the TMS (Tradeable Monitoring and Reporting System)."
What is the Tradeable Monitoring and Reporting System (TMS) in South Korea?,The Tradeable Monitoring and Reporting System (TMS) is a voluntary carbon emissions trading system in South Korea that was established in 2012. It was replaced by the Emissions Trading Scheme (ETS) in 2015.
How does the Korean government promote new growth engine industries?,"The Korean government promotes new growth engine industries by providing financial and fiscal incentives to induce cost-effective restructuring. They have selected 17 new growth engine industries across three sectors, including renewable energy, low-carbon energy technologies, green transportation systems, IT convergence citywide, LEDs in the green technology sector; broadcasting and communications media, intelligent robots, bio-pharmaceutical and medical devices, information technology, food industry and nano-convergence in the high-tech convergence sector; and healthcare, green financing, cultural content and software, education, MICE and tourism-related industries in the value-added service sector."
What is the role of foreign direct investment (FDI) in South Korea's economy?,"Foreign direct investment (FDI) plays a significant role in South Korea's economy by creating a ripple effect in employment, technology, and the economy. The Korean government fosters FDI by supporting investment targets, providing buyer-focused location and incentives, encouraging investment in parts and materials, core technologies, and the service sector, and facilitating investment in government-derived business and regional development projects."
What is Korea's ranking in terms of economy and trade?,Korea is the 13th largest economy in the world and the 9th largest exporter.
How does Korea's economy and trade status make it attractive for businesses?,"Korea's high-tech industry, sophisticated consumer market, and outstanding trading partner status make it attractive for businesses to enter or expand their Asian presence."
What are some examples of new products that were first introduced in Korea?,"Intel's Sonoma notebook, Toyota's Lexus ES350, Nissan's New G35, Starbucks' Green Tea Latte, and Samsonite luxury goods were all first released in Korea."
What is the average annual GDP growth rate in Korea?,The average annual GDP growth rate in Korea during the last decade (2000-2010) was 4.9%.
How does Korea's strategic location benefit businesses?,"Korea's strategic location between China and Japan, two of the world's largest markets, makes it an attractive market for businesses."
What is the Korea-US free trade agreement and how does it affect the market climate in Korea?,"The Korea-US free trade agreement brings about stronger protection of intellectual property rights, greater transparency in procurement and contracting processes, stronger trade facilitation, easier market access, and will lead to a significant change in the market climate in Korea."
How does Korea's broad FTA network enhance market access for multinational companies?,"Korea's broad FTA network, which includes agreements with the US, EU, EFTA, ASEAN, and several other countries, enhances access for multinational companies to the Korean market."
What is Korea's diverse income distribution like?,"Korea boasts diverse income distribution among its 50 million people, which is a large population relative to the country's size."
When was the Foreign Exchange Control Law enacted in Korea?,The Foreign Exchange Control Law was enacted in 1961.
What was the purpose of the Foreign Exchange Control Law?,"The purpose of the law was to properly control the outflow of foreign exchange, use incoming foreign exchange in the process of economic development, and to effectively cope with a chronic foreign exchange shortage."
What other laws indirectly control foreign exchange transactions in Korea?,The Foreign Investment Promotion Law (FIPL) and the Foreign Trade Act also indirectly control foreign exchange transactions.
When were restrictions on nonresidents' local currency deposits and trusts with maturities of less than one year eliminated?,Restrictions on nonresidents' local currency deposits and trusts with maturities of less than one year were eliminated from 2001.
How has the method of foreign exchange control changed over time in Korea?,The method of foreign exchange control has been changed to emphasize equilibrium of international balance and to prevent increases in domestic currency as a result of incoming foreign exchange.
Are current transactions for payment and receipt liberalized in Korea?,"Payment and receipts for current transactions are liberalized, although several types of current transactions require notification or confirmation for the purpose of monitoring."
What types of capital account transactions require prior permission in Korea?,"Transactions on the negative list such as loans, guarantees, financial derivatives and overseas portfolio investment require prior permission in certain cases."
What settlement methods are subject to declaration in Korea?,"Only a few specific settlement methods such as netting, payments exceeding the periods prescribed by the Ministry of Strategy and Finance, third party payments, and payments bypassing foreign exchange banks (with an exception to the payment of USD10,000 or less per current account transaction) are subject to declaration to the Bank of Korea or, in certain cases, the designated foreign exchange banks."
"When were Korea's patent, trademark, trade secret, and copyright laws amended to conform to its free trade agreements with the EU and the US?","Korea's patent, trademark, trade secret, and copyright laws were amended in 2011 and 2012 to conform to its free trade agreements with the EU and the US."
What types of products are protected by geographical identifications under the amended laws?,"Agriculture goods, wines, and spirits are protected by geographical identifications under the amended laws."
Are sounds and smells protected as trademarks under the amended patent laws?,"Yes, the amended patent laws protect sounds and smells as trademarks."
Can the duration of a patent right be extended due to a delay in registration?,"Yes, the amended patent laws extend the duration of a patent right due to a delay in registration."
Is there a provision on cancelling a patent right due to non-working in Korea?,"No, the amended patent laws abolish the provision on cancelling a patent right due to non-working."
How is trade secret protection handled during litigation in Korea?,The amended patent laws introduce a new system which allows a court to order the maintenance of trade secrets learned during a litigation and prohibits the disclosure to relevant people.
Will the Patent Act be amended to allow foreign language patent applications?,"Yes, the Patent Act will be amended to permit the filing of patent applications in foreign languages in order to reduce foreign applicants' administration and cost."
"What is the copyright protection duration for works produced after June 30, 1994?","Copyright protection has been extended from 50 years to 70 years for works produced after June 30, 1994."
How long is the duration of a patent in Korea?,The duration of a patent is twenty years and can be extended up to five years.
How long is the duration of trademark protection in Korea?,Trademark protection is granted for ten years from the date of registration and is renewable.
Can foreign investors register patents or trademarks in their own name in Korea?,"Yes, foreign investors are able to register patents or trademarks in their own name and receive the same benefits as Koreans."
Who registers patents and trademarks in Korea?,Patents and trademarks must be registered with the Korea Intellectual Property Office (KIPO) through a licensed Korean agent in accordance with relevant laws to be protected.
What is the role of the Ministry of Knowledge and Economy in protecting intellectual property rights?,The Ministry of Knowledge and Economy regulates and administers matters to protect intellectual property rights.
"What is the Special Judicial Police Squad, and when was it launched by KIPO?",The Special Judicial Police Squad is a unit launched by KIPO in September 2010 to more effectively crack down on counterfeit goods.
When did the Personal Information Protection Act (PIPA) become effective in Korea?,"The Personal Information Protection Act (PIPA) became effective in Korea on September 30, 2011."
Who is subject to the requirements under the PIPA?,"All companies, organizations, governmental agencies, and persons who process personal information when conducting their businesses are subject to the requirements under the PIPA, with certain exceptions for entities that do not meet the minimum threshold size."
What is one of the key principles under the PIPA?,"One of the key principles under the PIPA is that the entity processing personal information must disclose certain matters to the information owners and obtain their consent prior to the collection, use, and provision to third parties of their information."
What are the potential consequences for non-compliance with the PIPA?,"Non-compliance with the PIPA may subject a company to administrative penalty, civil liability, and criminal penalties."
What is the importance of foreign investment in Korea's financial and corporate restructuring after the 1997 Asian financial crisis?,"Foreign investment has been crucial in the financial and corporate restructuring that was accelerated by the 1997 Asian financial crisis in Korea. Foreign investors acquired financially distressed local companies, banks, or other financial service companies, which helped in the recovery and restructuring process."
"What is the percentage increase in foreign investment in the service sector in 2011, compared to the previous year?",15%
What types of investment opportunities have been available for foreigners in Korea in the past?,"In the past, most opportunities for foreigners have involved establishing labor-intensive manufacturing or processing operations geared toward the export market."
What are better returns for investors these days in Korea?,Investors obtain better returns by utilizing the skilled workforce in the higher-value and high technology fields.
What presents opportunities for consumer products and luxury goods in Korea?,The increasing affluence of Korea's large middle class also presents opportunities for consumer products and luxury goods.
What sectors are now open to foreign investment in Korea?,Foreign investment may enter into retail trade as well as import and wholesale trade for most consumer products.
What sectors provided special opportunities for foreign investors in the past?,Liberalized financial business service sectors provided special opportunities for foreign investors.
What undermined investment in the financial sector in Korea?,The global financial crisis in 2008 undermined investment in this sector.
What free trade agreements make Korea an attractive location for regional headquarters of foreign multinational companies?,"Korea's free trade agreements with US and EU which came into force in March 2012 and July 2011, respectively make Korea an attractive location for regional headquarters of US or EU-based foreign multinational companies in high technology industries."
What opportunities do these free trade agreements provide for Korea in the parts and materials industries?,"These free trade agreements also appear to provide a good opportunity for Korea as an attractive location for Asian multinational companies in parts and materials industries, especially from Japan and China which would be looking to expand their global markets."
How is Korea expected to be a gateway for trading economies?,Korea is expected to be a gateway to Northeast Asia for trading economies.
What tax concessions are available for foreign expatriates and employees working in Korea?,Foreign expatriates and employees working in Korea are granted a special tax concession of a flat income tax rate on their employment income and foreign engineers may receive a 50% reduction in income tax on wages and salaries earned for a certain period.
Are there any cash grant incentives available for foreign investors in Korea?,"Yes, cash grants are available for qualifying foreign investors that meet the 30% foreign ownership requirements (and USD10 million of minimum capital requirements for manufacturing) when they invest in any of the prescribed businesses including industry-supporting service business, high-technology business, parts and materials manufacturing, new or additional facility investment contributing to job-creation and other prescribed businesses that contribute to the enhanced competitiveness of the Korean economy and industries."
What types of tax incentives are available for foreign direct investment in Korea?,"Various tax incentives and benefits are designed to promote foreign direct investment in Korea. These incentives include exemption from or reduction in corporate and income tax on business income, dividend income, earned income, etc. and customs duties on capital goods as prescribed in the Special Tax Treatment Control Law (STTCL)."
Are there any tax incentives for multinational corporations' regional headquarters and administrative offices in Korea?,"Yes, cash grants are available in order to attract multinational corporations' regional headquarters and administrative offices in the country."
What is the most common type of tax holiday available for foreign investors in Korea?,"The most common types of tax holidays available for foreign investors in Korea are seven-year tax exemptions or reductions for Greenfield FDI in pre-designated high-technology businesses and industrial supporting businesses that should have significant ripple effect on Korean economic growth, job creation, competitiveness, and technology advancement."
What is the purpose of the Foreign Investment Zones (FIZ) system in attracting foreign investment?,"The Foreign Investment Zones (FIZ) system is designed to attract large-scale foreign investment by providing special areas where foreign-invested firms can establish bonded warehouses, manufacture, assemble, or process products for export using tariff-free imported raw materials. The system allows qualified foreign investors to designate an ideal site for their business and receive benefits, such as simplified approval and other required procedures, and access to various support facilities like electricity, water, transportation, telecommunications, packing, storage, and machine repair and maintenance."
What is the name of the character who is a skilled baker and the leader of the resistance group?,Mattie
What is the name of the character who is a skilled mechanic and a member of the resistance group?,Jake
What is the name of the character who is a skilled hacker and a member of the resistance group?,Zara
What is the name of the character who is a skilled fighter and a member of the resistance group?,Leo
What is the name of the character who is a skilled medic and a member of the resistance group?,Emily
What is the name of the character who is a skilled infiltrator and a member of the resistance group?,Ava
What is the name of the character who is a skilled assassin and a member of the resistance group?,Alex
What is the name of the character who is a skilled negotiator and a member of the resistance group?,Sam
What is the name of the character who is a skilled strategist and a member of the resistance group?,David
What is the name of the character who is a skilled scout and a member of the resistance group?,Rachel
What is the name of the character who is a skilled engineer and a member of the resistance group?,Chris
What is the name of the character who is a skilled pilot and a member of the resistance group?,Sarah
What is the name of the character who is a skilled tracker and a member of the resistance group?,Michael
What is the name of the character who is a skilled analyst and a member of the resistance group?,Patrick
What is the name of the character who is a skilled forger and a member of the resistance group?,Rebecca
What is the name of the character who is a skilled thief and a member of the resistance group?,Tommy
What is the name of the character who is a skilled illusionist and a member of the resistance group?,Maya
What is the basic law for foreign investment in Korea?,The Foreign Investment Promotion Law (FIPL) is the basic law for foreign investment.
What law applies to matters related to foreign exchange and external dealings related to foreign investments?,The Foreign Exchange Transaction Law will apply to matters related to foreign exchange and external dealings related to foreign investments.
Are foreign-invested companies subject to the same laws as purely domestic corporations?,"Yes, since foreign-invested companies are local corporations established under domestic laws, the same laws that apply to purely domestic corporations will apply even if the foreign-invested company has gone through the processes as prescribed in the FIPL."
What is the Korean Standard Industrial Classification (KSIC) system?,The Korean Standard Industrial Classification (KSIC) system is a classification system used in Korea to categorize industries.
How many categories are there in the KSIC system?,"There are a total of 1,145 categories under the Korean Standard Industrial Classification (KSIC) system."
How many categories are excluded from foreign investments under the FIPL?,"Out of a total of 1,145 categories under the Korean Standard Industrial Classification (KSIC) system, FIPL excludes 60 categories from foreign investments."
"Can foreigners invest in all of the remaining 1,085 investment categories?","Although foreigners can invest in all of the remaining 1,085 investment categories, 29 categories are subject to foreign ownership ceilings and are regulated by relevant industrial laws and the competent authorities."
Are there any categories not open to foreign investment?,"Yes, there are three categories which are not open to foreign investment: nuclear power generation, radio broadcasting, and terrestrial television broadcasting."
How are foreign ownership ceilings and additional criteria released and updated?,"Foreign ownership ceilings and additional criteria required by relevant laws and authorities are released and updated by the Ministry of Knowledge and Economy through its circular, Integrated Public Notice of Foreign Investment."
What restrictions are placed on beef cattle breeding in terms of foreign ownership?,Beef cattle breeding (01212) is permitted with foreign ownership ceilings of less than 50%.
What are the restrictions on foreign investment in satellite and other broadcasting operations in Korea?,"Foreign investment is permitted in satellite and other broadcasting operations in Korea when the foreign investment ratio is below 49%. However, for Internet multimedia broadcasting contents operation in general programming, the foreign investment ratio must be below 20%."
Are there any restrictions on cable communications in terms of foreign investment in Korea?,"Yes, there are restrictions on cable communications in terms of foreign investment in Korea. Foreign investment is permitted when the sum of shares held by foreign governments or foreigners is less than 49% of the total issued shares. Additionally, for KT, no foreigner can become the largest shareholder, but it is permissible when they own less than 5 percent of the total issued stocks."
What are the restrictions on mobile communications in terms of foreign investment in Korea?,"Foreign investment in mobile communications is permitted in Korea when the foreign investment ratio is below 49%. However, for Internet multimedia broadcasting contents operation in general programming, the foreign investment ratio must be below 20%."
Are there any restrictions on satellite communications in terms of foreign investment in Korea?,"Yes, there are restrictions on satellite communications in terms of foreign investment in Korea. Foreign investment is permitted when the sum of shares held by foreign governments or foreigners is less than 49% of the total issued shares."
Are there any restrictions on other electronic communications in terms of foreign investment in Korea?,There are no restrictions on foreign investment in other electronic communications in terms of value-added communications businesses in Korea.
Are there any restrictions on news offering in terms of foreign investment in Korea?,"Yes, there are restrictions on news offering in terms of foreign investment in Korea. Foreign investment is permitted for commercial banks and regional banks."
What are the restrictions on domestic commercial bank in terms of foreign investment in Korea?,Foreign investment in domestic commercial banks in Korea is permitted when the foreign investment ratio is below 25%.
What are the primary regulations regarding M&A in Korea?,"In Korea, M&A-type foreign direct investment made through the acquisition of existing shares in Korean companies is subject to certain regulations. For example, foreigners must obtain prior permission from the Minister of Knowledge and Economy (MKE) for the acquisition of existing shares in a defense industry company. The acquisition of existing stocks in violation of prior permission requirements may result in the loss of voting rights and an order to transfer the stocks to a third party. Additionally, the acquisition of stocks through mergers must be reported within 30 days, and foreign investors must file an alteration registration of a foreign-invested company."
What is the timeframe for institutional investors to report their acquisition of shares in a listed company?,"Institutional investors, including banks, securities companies, and other financial institutions, must report their acquisition of shares in a listed company by the tenth day of the following month. However, if the acquisition purpose is to exercise influence on the management of a company, they are subject to the five-day deadline."
What is the tender offer rule and what are the consequences for non-compliance?,"The tender offer rule requires a person (together with their related parties) who has acquired not less than 5 percent of a specific company's equity shares by purchasing them from 10 or more persons at over-the-counter markets during a six-month period to make a tender offer. Failure to comply with this rule can result in criminal sanctions, restrictions on voting rights, an order from the Financial Services Commission to dispose of shares within six months, and liability for damages."
What are the regulations for the acquisition of a publicly listed company in terms of initial listing and M&A report filing?,"If an unlisted corporation acquires a listed corporation, it can hold a shareholders' meeting for M&A after two months of business registration. The acquiring corporation must also submit an M&A report to the Financial Services Commission before the base date."
What are the penalties for filing an inaccurate M&A report?,"Filing an inaccurate M&A report can lead to the Financial Services Commission's investigation, administrative action, and even a criminal suit."
Is a third-party valuation required for mergers and acquisitions?,"Yes, a third-party valuation must be performed by parties independent of the acquirer or the target company."
What are the consequences for engaging in backdoor listing?,Engaging in backdoor listing in violation of the requirements can result in delisting and restrictions on selling new shares of the largest shareholder of the unlisted corporation.
Are there any restrictions on spin-offs after M&A?,"Yes, there are strengthened relisting requirements on the sales side after M&A."
Are foreigners allowed to acquire land in Korea?,"Yes, foreigners are free to acquire land in Korea, except for certain areas and under certain conditions."
What areas require approvals for overseas remittances of gains from land acquisition?,"Military stocks acquired by foreign investors, facilities, cultural assets, ecological stock transactions, principal and fees preservation, and some lands on islands for military purposes require approvals for overseas remittances of gains from land acquisition."
What is the time limit for filing a report on land acquisition by foreigners?,"After a contract for land acquisition is concluded, a report should be filed within 60 days to the municipal governor."
