prompt,completion,split
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 When must a corporation submit an application for approval to file a blue form tax return?
<|im_start|>Answer
",A corporation must submit an application for approval no later than the day prior to the starting day of the taxable year.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Where can one find more information about the ""Program to increase foreign entrepreneurs"" in Fukuoka?
<|im_start|>Answer
","More information about the ""Program to increase foreign entrepreneurs"" in Fukuoka can be found on the Fukuoka city website at <http://www.city.fukuoka.lg.jp/plaital-aac/business/startup_english.html>.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What documents are needed for the subsidiary establishment procedures?
<|im_start|>Answer
","Some of the documents needed for the subsidiary establishment procedures should be prepared in the home country of the foreign company, such as documents certifying the profile of the foreign company, documents certifying the representative authority of the foreign company's representative, documents certifying the authenticity of the signature of the foreign company's representative, and certificates of signature for the person(s) to be appointed as director(s), etc. (if any) of the subsidiary company.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the role of a public notary in the certification process for equity participants?
<|im_start|>Answer
",A public notary in equity participants' own countries must attest the affidavits regarding profiles of companies that will become equity participants and affidavits regarding signatures of representatives of companies that will become equity participants.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the Japanese earnings stripping rules?
<|im_start|>Answer
","Deductions for payments of interest, etc. by corporations to parent companies or other affiliates are now disallowed to the extent that such interest exceeds 50% of the adjusted taxable income. However, this shall not apply in the case that the amount of interest paid to affiliates does not exceed 10 million yen or if interest payments to affiliates are not more than 50% of the total amount of that corporation's interest expenses.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the total amount of the increase or decrease of capital, etc. resulting from free capital increases or dispositions of deficits that have been made since a certain past year?
<|im_start|>Answer
","The total amount of the increase or decrease of capital, etc. resulting from free capital increases or dispositions of deficits that have been made since a certain past year is referred to as the ""amount of capital, etc."" prescribed in the Corporate Tax Law or other certain amount of capital, etc.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the term ""Temporary worker""?
<|im_start|>Answer
","The term ""Temporary worker"" refers to a worker that enters into an employment contract with a temporary staffing agency and who, under the orders of the agency, reports for work at a client company and performs duties under the orders of the client company.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What documentation is needed when applying for a Certificate of Eligibility for working statuses in Japan?
<|im_start|>Answer
","When applying for a Certificate of Eligibility for working statuses in Japan, you will generally need an application form, a photograph, a return-mail envelope, documents certifying academic qualifications, a curriculum vitae, a certified copy of the company register of an inviter in Japan, a company brochure of the inviter, a copy of financial statements or business plan of the inviter, and a copy of information returns or notification on the establishment of the inviter. Additional documents such as a copy of an employment agreement, certificate of employment, and foreign company's business brochure may also be required depending on the type of status of residence.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the maximum period for a temporary worker to work in the same organizational unit in the client?
<|im_start|>Answer
",Three years.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the thin-capitalization taxation rule in Japan?
<|im_start|>Answer
","If a corporation's borrowing from an overseas controlling shareholder exceeds three times its equity (or an alternative reasonable ratio), interest on borrowing corresponding to the excess cannot be deducted from taxable income.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the application fee for registering a design in Japan?
<|im_start|>Answer
","The application fee for registering a design in Japan is 16,000 yen per design.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can business continue in Japan if there are still registered representatives?
<|im_start|>Answer
","Yes, business can continue in Japan as long as representatives are registered.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How long does it typically take to establish a Godo-Kaisha in Japan?
<|im_start|>Answer
",It typically takes about one month to establish a Godo-Kaisha in Japan after determining the profile of the company to be established.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the minimum leave period an employer must grant to an expectant mother before her expected date of delivery in Japan?
<|im_start|>Answer
",Six weeks.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What documents are typically required for applying for registration of company establishment in Japan?
<|im_start|>Answer
",The certified articles of incorporation and the capital custody certificate may both be needed when applying for registration of company establishment in Japan.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What benefits are covered under Workers' Accident Compensation Insurance?
<|im_start|>Answer
","Benefits are paid for any illness, injury, disability or death incurred as a result of an accident caused by work or while commuting to or from work.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the corporate tax rate for taxable income up to 4 million yen?
<|im_start|>Answer
",The corporate tax rate for taxable income up to 4 million yen is 15%.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are there any requirements for the appointment of outside directors in small and medium companies in Japan?
<|im_start|>Answer
","Yes, the requirements for outside directors have been altered by the enforcement of revisions to the Companies Act, but specific details are not provided in the table.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the total time frame for the design registration process in Japan, from application to completion?
<|im_start|>Answer
",Allow about eight months after application to complete the process.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Do these labor laws apply to all enterprises in Japan?
<|im_start|>Answer
","Yes, these laws apply in principle to all enterprises in Japan, regardless of whether the employer is Japanese or foreign, or the company is a foreign or Japanese-registered corporation.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the main intellectual property rights laws in Japan?
<|im_start|>Answer
","The main intellectual property rights laws in Japan include patents, trademarks, copyrights, and industrial designs.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are visa exemption arrangements applicable to foreign nationals intending to work or engage in other activities for compensation in Japan?
<|im_start|>Answer
","No, visa exemption arrangements will not apply to foreign nationals intending to work or engage in other activities for compensation in Japan.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the advantage of registering a design as a ""similar design"" in Japan?
<|im_start|>Answer
","The advantage of registering a design as a ""similar design"" in Japan is that it provides official advance confirmation regarding the extent to which your design is similar to the one registered.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Is social insurance coverage mandatory for a representative office with 5 or more employees in Japan?
<|im_start|>Answer
","Yes, if a representative office has 5 or more employees and falls under prescribed kinds of businesses, insurance coverage is mandatory.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What kind of activities are authorized for Legal/Accounting Services status of residence in Japan?
<|im_start|>Answer
","Legal/Accounting Services status of residence in Japan authorizes activities to engage in the legal or accounting business. An applicant must be a foreign attorney, a foreign certified public accountant, or those with some other legal qualifications.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What items must work rules at a minimum contain?
<|im_start|>Answer
","Work rules must at a minimum contain information about start and finish times, breaks, days off, leave of absence, work shift arrangements, methods of determining, calculating and paying wages, arrangements regarding retirement allowances, extraordinary wages, meal expenses, safety and hygiene, job training, workers' accident compensation, awards and disciplinary measures, and other relevant matters.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How often must employers have regular employees undergo a health check-up?
<|im_start|>Answer
",Employers must have all regular employees undergo a health check-up by a doctor once per year (or at least once every six months in the case of employees engaged in specific kinds of work which may damage the employees' health including late night work and work involving X-rays).<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the deadline for applying for re-issuance of a resident card after loss or theft?
<|im_start|>Answer
","In case of loss or theft of a resident card, foreign residents must apply for re-issuance within 14 days of noticing this (or the day of reentry to Japan if noticed outside Japan).<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is re-entry permission and why is it important for foreign nationals residing in Japan?
<|im_start|>Answer
",Re-entry permission is a system that allows foreign nationals residing in Japan to leave the country temporarily and re-enter with the same status of residence as before. It is important because departing Japan without receiving this re-entry permission will result in forfeiture of the status of residence and the period of stay previously granted.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What information is required to be registered for a joint-stock corporation in Japan?
<|im_start|>Answer
","The principal information to be registered for a joint-stock corporation includes corporate name, location of head office, business purposes, method of giving public notice, total number of shares to be issued, types and numbers of outstanding shares, rules on the limitation of transfer of shares, amount of capital, directors, representative directors, auditors, date of company establishment.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the due date for withholding tax paid on residents' salaries and certain professional fees by small businesses with fewer than 10 persons on the payroll?
<|im_start|>Answer
","Regarding withholding tax paid on residents' salaries, certain professional fees, a special exemption is provided for small businesses with fewer than 10 persons on the payroll that allows them to make a prescribed election to pay withholding income tax in six-month installments twice a year (by July 10 and by January 20).<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 When was the consumption tax rate scheduled to increase to 10%?
<|im_start|>Answer
","The consumption tax rate was scheduled to increase to 10% (inclusive of local consumption tax rate of 2.2%) from April 1, 2017.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the special re-entry permit system introduced in 2012 in Japan?
<|im_start|>Answer
","The special re-entry permit system allows foreign nationals in possession of a valid passport and resident card who declare their intention when they leave to re-enter Japan within 1 year of their departure to continue their activities in Japan. They are no longer, in principle, required to obtain a re-entry permit.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How long does the protection of design rights last in Japan?
<|im_start|>Answer
",The protection of design rights in Japan lasts for 20 years.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can a company change the working conditions in a manner disadvantageous to the worker?
<|im_start|>Answer
",A company can change the working conditions in a manner disadvantageous to the worker if the change is reasonable in light of certain circumstances.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is considered income attributable to permanent establishment in Japan?
<|im_start|>Answer
","Income attributable to permanent establishment in Japan refers to the income earned by a foreign corporation through its permanent establishment, such as a branch or subsidiary, in Japan. This income is subject to taxation in Japan.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How is a subsidiary company established in Japan?
<|im_start|>Answer
",A subsidiary company is established in Japan through registration with the Legal Affairs Bureau.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can employers with fewer than 10 workers also draw up work rules?
<|im_start|>Answer
","Yes, establishments with fewer than 10 workers are encouraged to draw up work rules.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How can a branch office be closed down in Japan?
<|im_start|>Answer
",A branch office can be closed down in Japan through either registering the closure of the branch office or registering the resignation of all representatives in Japan.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the purpose of the foreign tax credit system in Japan?
<|im_start|>Answer
",The purpose of the foreign tax credit system in Japan is to avoid double taxation of income internationally.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the purpose of remitting the joint-stock corporation capital to an account of the incorporator or representative director?
<|im_start|>Answer
",To ensure that the full amount of capital has been paid in accordance with the articles of incorporation.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Where can one find more information about the ""Program to increase foreign entrepreneurs"" in Tokyo?
<|im_start|>Answer
","More information about the ""Program to increase foreign entrepreneurs"" in Tokyo can be found on the Tokyo Metropolitan Government's website at <http://www.seisa.metro.tokyo.lg.jp/p/invest-tokyo/english/invest-tokyo/fhr.html>.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the role of labor standards inspectors in Japan?
<|im_start|>Answer
",Labor standards inspectors in Japan are public employees who are responsible for ensuring legal compliance and assisting in the improvement of working conditions in any kind of business establishment.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Which transactions are deemed non-taxable for consumption tax purposes in Japan?
<|im_start|>Answer
","Financial transactions, capital transactions, and certain transactions in the areas of medical care, welfare, and education are deemed non-taxable for consumption tax purposes in Japan.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the registration number of the trademark for motion marks?
<|im_start|>Answer
",Reg No. 5816758<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the non-use of trademarks under Japan's Trademark Law?
<|im_start|>Answer
","Under Japan's Trademark Law, trademarks can be registered even if they are not in use at the time under the first-to-file rule. However, if a trademark is not used at all within a period of three years following registration, a petition for the cancellation of that trademark may be filed by an interested third party.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the main advantage of the International Registration of Industrial Designs?
<|im_start|>Answer
",The main advantage of the International Registration of Industrial Designs is the simplification of the design application process for designers and businesses looking to protect their designs in multiple countries.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the purpose of a Business Manager status of residence in Japan?
<|im_start|>Answer
",The purpose of a Business Manager status of residence in Japan is to manage trades and other businesses in Japan or engage in administration of the relevant business.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the minimum number of directors required for large Kabushiki-Kaisha?
<|im_start|>Answer
",Appointment of 3 or more directors is required for large Kabushiki-Kaisha.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How does the employment income deduction for income over 10,000,000 yen change from 2017 onwards?
<|im_start|>Answer
","From 2017 onwards, the employment income deduction for income over 10,000,000 yen will be 2,200,000 yen.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who is eligible for a resident card in Japan?
<|im_start|>Answer
","Mid- to long-term residents who do not come under any of (1) through (6) below are eligible for a resident card: (1) Persons granted permission to stay for 3 months or less, (2) Persons granted ""Temporary Visitor"" status, (3) Persons granted ""Diplomat"" or ""Official"" status, (4) Persons recognized by Ministry of Justice ordinance as equivalent to foreign nationals coming under any of (1) to (3) above, (5) Special permanent residents, and (6) Persons with no resident status.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the role of administrative scriveners in Japan's immigration procedures?
<|im_start|>Answer
","Administrative scriveners in Japan can provide advice on immigration procedures and act as agents for the submission of applications to the Immigration Bureau for certificates of eligibility, extensions of period of stay, changes of status of residence, and re-entry permissions, etc. They can also offer guidance on documents needed for applications, provide advice on preparing documents, and act as an agent in preparing the documents.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the minimum premium rate for Workers' Accident Compensation Insurance?
<|im_start|>Answer
","The minimum premium rate is 0.25% (for finance, insurance, telecommunications and broadcasting industries).<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What happens when all representatives in Japan resign?
<|im_start|>Answer
",The branch office in Japan is closed down.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 When must a company seal be registered with the Legal Affairs Bureau in Japan?
<|im_start|>Answer
",The company seal must be registered with the Legal Affairs Bureau when applying for establishment registration.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the first step in establishing a Kabushiki-Kaisha (joint-stock corporation)?
<|im_start|>Answer
",The first step is determining the profile of the joint-stock corporation to be established.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Is there a fee associated with trademark registration?
<|im_start|>Answer
","Yes, a registration fee must be paid after the decision to register the trademark.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What services do labor and social security attorneys perform at companies' request?
<|im_start|>Answer
","They perform a range of services including labor and social insurance-related procedures, consulting services in relation to safety and hygiene, labor management, mediation in individual employment disputes, consulting and handling of claims regarding pensions, and other employment-related tasks.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How does the number of days of paid leave available to employees increase with length of service?
<|im_start|>Answer
","The number of days of paid leave available to employees increases in proportion to their length of service, as set forth in Table 4-3.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the brackets of taxable income for corporate tax in Japan?
<|im_start|>Answer
","The brackets of taxable income for corporate tax in Japan are up to 4 million yen, over 4 million yen to 8 million yen, and over 8 million yen.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the purpose of the flowchart of procedures for establishment of operations in Japan and acquisition of visa/status of residence?
<|im_start|>Answer
","The flowchart of procedures for establishment of operations in Japan and acquisition of visa/status of residence depicts the sequence of procedures that are typically completed in order to establish and register the establishment of a new operation in Japan represented by a foreign national, along with the procedures for acquisition of a visa and status of residence.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the name of the department within JETRO responsible for this booklet?
<|im_start|>Answer
",The department within JETRO responsible for this booklet is the Invest Japan Department.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the difference in tax notification rules for a branch office with a business year commencing by March 31, 2016 and those commencing on or after April 1, 2016?
<|im_start|>Answer
","The tax notification rules for a branch office with a business year commencing by March 31, 2016 have different conditions and requirements compared to those commencing on or after April 1, 2016.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the premium rate for Health Insurance in Japan?
<|im_start|>Answer
",The premium rate for Health Insurance in Japan is 4.98% for full-time workers.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the preferential treatments for ""Class 2 Highly Skilled Professionals"" in Japan?
<|im_start|>Answer
","The preferential treatments for ""Class 2 Highly Skilled Professionals"" in Japan include permission for almost all types of working status activities in addition to the activities as ""Class 1 Highly Skilled Professional,"" granting of an open-ended period of stay, and the same preferential treatments as ""Class 1 Highly Skilled Professionals"" in terms of relaxation of residence requirements for granting of permission for permanent residence, preferential processing of immigration and residency procedures, permission for the spouse of a highly skilled foreign professional to work, permission for accompaniment by a parent of a highly skilled professional under certain conditions, and permission for accompaniment by a domestic worker employed by a highly skilled person under certain conditions.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the first step in establishing a Godo-Kaisha in Japan?
<|im_start|>Answer
",The first step in establishing a Godo-Kaisha in Japan is to determine the profile of the Godo-Kaisha to be established.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can foreign nationals with no resident status in Japan obtain a resident card?
<|im_start|>Answer
","No, foreign nationals with no resident status are not eligible for a resident card.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can employers impose penalties for non-fulfillment of a labor contract?
<|im_start|>Answer
","No, it is illegal to impose a penalty for non-fulfillment of a labor contract.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the maximum term for auditors in large Kabushiki-Kaisha?
<|im_start|>Answer
",The term for auditors in large Kabushiki-Kaisha can be extended up to 10 years.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 When are documents to be retained for the consumption tax on purchases to be deducted subject to change in Japan?
<|im_start|>Answer
","Documents to be retained for the consumption tax on purchases to be deducted will change with the introduction of the reduced consumption tax rate on April 1, 2017.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the deadline for mid- to long-term residents to file notification of place of residence after changing their place of residence?
<|im_start|>Answer
",Mid- to long-term residents who have changed their place of residence must visit their new municipal office with their resident card to file notification of their place of residence within 14 days of moving to the new residence.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How can one obtain trademark rights in Japan from a foreign country?
<|im_start|>Answer
","An application for registration must be filed with the Japan Patent Office. However, two alternative schemes are available: applying under the Paris Convention or under the Madrid Agreement.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the tax rate for inheritance tax and gift tax in Japan?
<|im_start|>Answer
",The rates are between 10% to 55% for both the inheritance tax and gift tax.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are presidents and representative directors of incorporated companies covered under health insurance in Japan?
<|im_start|>Answer
","Yes, presidents and representative directors of incorporated companies are covered.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who is eligible for the special re-entry permit system in Japan?
<|im_start|>Answer
","The special re-entry permit system applies to foreign nationals in possession of a valid passport and resident card who declare their intention to re-enter Japan within 1 year of their departure. It also applies to foreign nationals in possession of a passport stating ""A resident card is to be issued later"".<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the name of the government-run employment agency in Japan?
<|im_start|>Answer
","The government-run employment agency in Japan is known as ""Hello Work.""<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the city planning tax in Japan?
<|im_start|>Answer
","The city planning tax in Japan is a surtax on the fixed asset tax, levied at a rate of 0.3% on land and structures within city planning zones.<|im_end|>",train
