Question,Answer
What are the main relative matters listed in the articles of incorporation for Kabushiki-Kaisha?,"The main relative matters for Kabushiki-Kaisha include names of persons contributing in kind, assets to be contributed, value of the assets, and number and type of shares assigned therefore; assets to be taken over after the coming into existence of the corporation, value thereof, and name of transferor; incorporation expenses incurred by the corporation; appointment of auditor(s); establishment of board of directors; rules on payment of dividends of surplus."
Are relative matters in Kabushiki-Kaisha's articles of incorporation legally effective if not stated?,"No, relative matters in Kabushiki-Kaisha's articles of incorporation do not have legal effect unless stated."
What are the absolute matters listed in the articles of incorporation for Godo-Kaisha (limited liability companies)?,"The absolute matters for Godo-Kaisha are purpose, trade name, place of principal office, names and addresses of members, statement that all members are limited liability members, and the purpose and value of members' contributions."
Can relative entries in Godo-Kaisha's articles of incorporation contravene the Companies Act?,"No, relative entries in Godo-Kaisha's articles of incorporation may be freely determined provided that they do not contravene the Companies Act."
What is the purpose of stating absolute matters in the articles of incorporation?,The purpose of stating absolute matters in the articles of incorporation is to ensure that the articles are valid and legally effective.
What is the difference between absolute and relative matters in the articles of incorporation?,"Absolute matters must be stated for the articles of incorporation to be valid, while relative matters do not have legal effect unless stated."
Can relative matters in Kabushiki-Kaisha's articles of incorporation be changed or amended later?,"Yes, relative matters in Kabushiki-Kaisha's articles of incorporation can be changed or amended later, as long as they do not contravene the Companies Act."
Are there any other types of companies that have specific requirements for their articles of incorporation?,"The information provided only discusses Kabushiki-Kaisha (joint-stock corporations) and Godo-Kaisha (limited liability companies). Other types of companies may have different requirements, which would need to be specified in their respective legal frameworks."
What is the purpose of a certificate on registered company information in Japan?,"The certificate on registered company information is a document officially certifying a company's registered information and is ordinarily presented whenever opening a bank account, filing notifications with administrative authorities, purchasing assets for which name registration is required, and concluding important agreements with business partners."
What is the company seal impression certificate in Japan?,"The company seal impression certificate is a document publicly certifying the company seal that has been registered. It is used to confirm whether or not company seals placed on applications, filings, contracts, etc., have been placed there with legitimate authorization from the company."
When must a company seal be registered with the Legal Affairs Bureau in Japan?,The company seal must be registered with the Legal Affairs Bureau when applying for establishment registration.
Who are the only parties authorized to use the company seal in Japan?,The representatives of the branch office/subsidiary company are the only parties authorized to use the company seal.
What documents must be presented when registering the company seal in Japan?,The personal seal registration certificates or signature certificates of the persons authorized to use the seal must be presented when registering the company seal.
What are the consequences of not promptly completing modification procedures for changes to registered information or the company seal in Japan?,Applications for registration of changes to registered information must be submitted to the Legal Affairs Bureau within the specified timeframes (two weeks for subsidiary companies and three weeks for branch offices).
What information is required to be registered for a joint-stock corporation in Japan?,"The principal information to be registered for a joint-stock corporation includes corporate name, location of head office, business purposes, method of giving public notice, total number of shares to be issued, types and numbers of outstanding shares, rules on the limitation of transfer of shares, amount of capital, directors, representative directors, auditors, date of company establishment."
What is the process for obtaining a certificate on registered company information in Japan?,The certificate on registered company information can be obtained from the Legal Affairs Bureau once registration of establishment has been completed for a Japanese branch office or a subsidiary company.
What is the process for obtaining a company seal impression certificate in Japan?,The company seal impression certificate can be obtained from the Legal Affairs Bureau after completion of establishment registration.
What is the timeframe for submitting applications for registration of changes to registered information in Japan?,"Applications for registration of changes to registered information must be submitted to the Legal Affairs Bureau within two weeks of the changes for subsidiary companies, and within three weeks of the changes for branch offices."
What notifications are required to be filed with the national tax authorities after incorporating a subsidiary corporation in Japan?,"After incorporating a subsidiary corporation in Japan, the following notifications are required to be filed with the national tax authorities: Notification of incorporation, Notification of acquisition of status of foreign ordinary corporation, Notification of establishment of an office paying salaries, and Application for approval of filing a blue form tax returns."
By when must the Notification of incorporation be filed with the national tax authorities?,The Notification of incorporation must be filed within 2 months from the date of incorporation.
What is the deadline for filing the Notification of acquisition of status of foreign ordinary corporation with the national tax authorities?,The Notification of acquisition of status of foreign ordinary corporation must be filed within 2 months from the date of acquisition of status of foreign ordinary corporation.
When must the Notification of establishment of an office paying salaries be filed with the national tax authorities?,The Notification of establishment of an office paying salaries must be filed within 1 month from the establishment of the office.
What is the deadline for filing the Application for approval of filing a blue form tax returns with the national tax authorities?,The Application for approval of filing a blue form tax returns must be filed the day before the sooner of the day 3 months after incorporation or the last day of the first business year after incorporation.
What notifications must be filed with the prefectural and municipal tax authorities after incorporating a subsidiary corporation in Japan?,"After incorporating a subsidiary corporation in Japan, the Notification of incorporation or establishment of branch, etc. must be filed with each of the prefectural and municipal authorities to which local taxes are to be paid."
"By when must the Notification of incorporation or establishment of branch, etc. be filed with the prefectural and municipal tax authorities?","The Notification of incorporation or establishment of branch, etc. must be filed without delay. However, the specific deadline may vary according to the prefecture and municipality, so it is recommended to check the requirements online."
What notifications must be filed with the labor standards inspection authorities after incorporating a subsidiary corporation in Japan?,"After incorporating a subsidiary corporation in Japan, the following notifications must be filed with the labor standards inspection authorities: Labor standards enforcement report, notification of establishment of labor insurance relationship and declaration of estimated insurance contributions, agreement on overtime and holiday work, and employment regulations."
By when must the Labor standards enforcement report be filed with the labor standards inspection authorities?,"The Labor standards enforcement report must be filed without delay when a business becomes subject to the Labor Standards Act, which is when it employs workers."
"What is the timeframe for filing the notification of coverage of establishment by employment insurance, including notification of acquisition of insured status?",This must be filed within 10 days of first hiring workers.
What is the timeframe for filing the notification of first-time coverage by health/employees' pension insurance?,File within 5 days of first hiring employees at a corporation or other establishment covered by social insurance.
What is the timeframe for filing the notification of acquisition of insured status under health/employees' pension insurance?,File within 5 days of hiring employees.
What is the timeframe for filing the notification of addition/removal of dependents of insured employees?,File within 5 days if a person (employee) covered by health insurance has dependents.
What is the timeframe for filing the notification of acquisition of type 3 insured status under the National Pension?,File within 5 days if a spouse of an insured person (employee) is a dependent.
"Who is considered an ""employee"" for the purpose of these notifications?","""Employees"" here also includes representatives of corporations, such as representative directors."
What is the purpose of the notifications mentioned in this section?,The notifications are required for public employment security authorities and pension authorities to ensure compliance with social insurance regulations.
Are there any additional notifications required for corporations or other establishments covered by social insurance?,The text does not mention any additional notifications.
"What is the definition of ""insured status"" in the context of these notifications?","""Insured status"" refers to the status of an employee or representative of a corporation who is covered by social insurance, such as employment insurance, health insurance, or employees' pension insurance."
How can a branch office be closed down in Japan?,A branch office can be closed down in Japan through either registering the closure of the branch office or registering the resignation of all representatives in Japan.
Can business continue in Japan if there are still registered representatives?,"Yes, business can continue in Japan as long as representatives are registered."
What happens when all representatives in Japan resign?,The branch office in Japan is closed down.
What is the common approach for closing a branch office in Japan?,The common approach is to only register the resignation of all representatives in Japan.
What is the procedure for registering the resignation of all representatives in Japan?,"Creditors must be given a period of at least one month prior to the closure to submit objections, followed by notifying the tax agent to tax authorities, preparing an affidavit regarding closure, attesting the affidavit by an embassy consul or similar official, applying for registration of resignation with the Legal Affairs Bureau, acquiring a certificate on registered closure information, and notifying the tax authorities and others of the branch office closure."
Is it possible for a branch office to be directly reorganized into a joint-stock corporation or a limited liability company?,"No, a branch office cannot be directly reorganized into a joint-stock corporation (Kabushiki-Kaisha (K.K.)) or a limited liability company (Godo-Kaisha (LLC))."
What must be completed when upgrading a branch office to a subsidiary company?,Both the branch office closure procedures and the subsidiary company establishment procedures must be carried out simultaneously.
Can the branch office's assets be passed on to the subsidiary?,"Yes, the branch office's assets may be passed on to the subsidiary through investment in kind."
What happens to the register when all representatives in Japan resign?,"The register is closed without a date being entered for the branch office's closure. However, if a date of closure is required in the register, both (1) branch office closure and (2) resignation of all representatives in Japan must be registered."
What is the minimum period creditors of a subsidiary company must be given prior to liquidation to submit objections?,Creditors must be given a period of no less than two months prior to the liquidation to submit objections.
What happens if a subsidiary company has negative net assets and cannot independently complete liquidation procedures?,The corporation must follow special liquidation procedures under the direction of a court.
What is the first step in the general flow of procedures for dissolving/liquidating a subsidiary company?,The first step is a resolution at the general meeting of shareholders or equivalent on the dissolution of the subsidiary company and the appointment of a liquidator.
Where do you apply for registration of the dissolution of the subsidiary company and the appointment of a liquidator?,You apply to the Legal Affairs Bureau.
What is the third step in the general flow of procedures for dissolving/liquidating a subsidiary company?,Notification to tax authorities of the dissolution of the subsidiary company and the appointment of a liquidator.
How long must pass before the resolution approving conclusion of liquidation can be made?,No sooner than two months after the call and placement of notices in step 4.
What is the fifth step in the general flow of procedures for dissolving/liquidating a subsidiary company?,Preparation of a balance sheet and inventory of property at dissolution.
What is the seventh step in the general flow of procedures for dissolving/liquidating a subsidiary company?,Ascertainment and distribution of residual assets.
What is the ninth step in the general flow of procedures for dissolving/liquidating a subsidiary company?,Application for registration of the completion of liquidation of the subsidiary company with the Legal Affairs Bureau.
How long does it approximately take to acquire a certificate on registered closure information after applying for registration of the completion of liquidation?,It takes approximately two weeks after application for registration.
What is the relationship between a visa and status of residence in the context of entry and residence procedures in Japan?,"A visa is a recommendation required for entry into Japan, while status of residence is the grounds on which a foreign national is permitted to stay in Japan and enables them to carry out specific activities."
What is the process for acquiring a visa to work in Japan?,"The process involves applying for a Certificate of Eligibility in Japan, which is then sent to the applicant or their proxy. If the applicant is already in Japan on a temporary visitor status of residence when the Certificate of Eligibility is issued, they may be able to change their status without leaving the country. The Certificate of Eligibility is then used to apply for a visa at a Japanese diplomatic mission abroad. Once the visa is issued, the applicant can enter Japan and present their passport, visa, and Certificate of Eligibility at the port of debarkation to receive a resident card."
What are the principal statuses of residence related to investment in Japan?,"The principal statuses of residence related to investment in Japan are Business Manager, Engineer/Specialist in Humanities/International Services, Intra-company Transferee, Legal/Accounting Services, and Skilled Labor."
What activities are authorized for each status of residence related to investment in Japan?,"Business Manager can manage trades and other businesses in Japan or engage in administration of the relevant business. Engineer/Specialist in Humanities/International Services can engage in services requiring skills or knowledge in various fields, while Intra-company Transferee can work at business offices in Japan for a limited period of time. Legal/Accounting Services can engage in legal or accounting businesses, and Skilled Labor can engage in services requiring industrial techniques or skills in special fields."
Where can I find more information about the status of residence in Japan?,"You can find more information about the status of residence in Japan in the Immigration Bureau, Ministry of Justice's ""Immigration control IMMIGRATION 2015"" publication, specifically under the section titled ""List of Status of Residence."""
What documentation is needed when applying for a Certificate of Eligibility for working statuses in Japan?,"When applying for a Certificate of Eligibility for working statuses in Japan, you will generally need an application form, a photograph, a return-mail envelope, documents certifying academic qualifications, a curriculum vitae, a certified copy of the company register of an inviter in Japan, a company brochure of the inviter, a copy of financial statements or business plan of the inviter, and a copy of information returns or notification on the establishment of the inviter. Additional documents such as a copy of an employment agreement, certificate of employment, and foreign company's business brochure may also be required depending on the type of status of residence."
What is the purpose of a Business Manager status of residence in Japan?,The purpose of a Business Manager status of residence in Japan is to manage trades and other businesses in Japan or engage in administration of the relevant business.
What kind of activities are authorized for Engineer/Specialist in Humanities/International Services status of residence in Japan?,"Engineer/Specialist in Humanities/International Services status of residence in Japan authorizes activities to engage in services that require skills or knowledge pertinent to various fields, or activities to engage in services that require specific ways of thought or sensitivity based on experience with foreign culture."
What is the purpose of an Intra-company Transferee status of residence in Japan?,"The purpose of an Intra-company Transferee status of residence in Japan is for personnel who are transferred to business offices in Japan for a limited period of time from business offices established in foreign countries by organizations with head offices, branch offices, or other business offices in Japan."
What kind of activities are authorized for Legal/Accounting Services status of residence in Japan?,"Legal/Accounting Services status of residence in Japan authorizes activities to engage in the legal or accounting business. An applicant must be a foreign attorney, a foreign certified public accountant, or those with some other legal qualifications."
What is the purpose of a Skilled Labor status of residence in Japan?,"The purpose of a Skilled Labor status of residence in Japan is to engage in services that require industrial techniques or skills belonging to special fields, on the basis of a contract with a public or private organization in Japan."
What activities are covered by temporary visitor status in Japan?,"Temporary visitor status covers tourism, recuperation, sports, visits to relatives, field trips, participation in short courses or meetings, business liaison, and similar activities."
Are holders of temporary visitor status allowed to engage in working activities?,"No, holders of temporary visitor status may not engage in working activities."
Who can be covered by temporary visitor status for business purposes?,"Persons staying in Japan for the purpose of field trips and inspections, participating in short courses and briefings organized by companies, participating in conferences and other meetings, sent to Japan for business liaison, business negotiations, contract signing, after-sales service, advertising or publicity, market research, or other short-term business activities can be covered by temporary visitor status for business purposes."
Can market research and other activities in preparation for investing in and commencing a business in Japan fall under temporary visitor status?,"Yes, market research and other activities in preparation for investing in and commencing a business in Japan are normally considered to fall under temporary visitor status."
What are the periods of stay for temporary visitor status?,"The periods of stay of temporary visitor status are 90 days, 30 days, and designated numbers of days up to 15 days."
Are there any countries with reciprocal visa exemption arrangements with Japan for temporary visitors?,"Yes, there are countries with reciprocal visa exemption arrangements with Japan for temporary visitors."
Which website can provide a list of countries that have visa exemption arrangements with Japan?,The Ministry of Foreign Affairs of Japan website (http://www.mofa.go.jp/jinfo/visit/visa/short/novisa.html) can provide a list of countries that have visa exemption arrangements with Japan.
Are visa exemption arrangements applicable to foreign nationals intending to work or engage in other activities for compensation in Japan?,"No, visa exemption arrangements will not apply to foreign nationals intending to work or engage in other activities for compensation in Japan."
What is the purpose of temporary visitor status in Japan?,"Temporary visitor status covers various activities, including tourism, recuperation, sports, visits to relatives, field trips, participation in short courses or meetings, business liaison, and similar activities undertaken staying temporarily in Japan."
What is the purpose of the resident card in Japan?,"The resident card is issued to foreign nationals residing legally in Japan for the mid- to long-term who have resident status under the Immigration Control Act. It serves as a form of identification and contains information such as the bearer's identity, address, and status of residence."
Who is eligible for a resident card in Japan?,"Mid- to long-term residents who do not come under any of (1) through (6) below are eligible for a resident card: (1) Persons granted permission to stay for 3 months or less, (2) Persons granted ""Temporary Visitor"" status, (3) Persons granted ""Diplomat"" or ""Official"" status, (4) Persons recognized by Ministry of Justice ordinance as equivalent to foreign nationals coming under any of (1) to (3) above, (5) Special permanent residents, and (6) Persons with no resident status."
What information is included on a resident card?,"The following information is included on resident cards: (1) Name, date of birth, sex, and nationality or region, (2) Place of residence (address of main residence in Japan), (3) Status of residence, period of stay, and date of expiration of period of stay, (4) Type and date of permission, (5) Number, date of issue, and date of expiration of resident card, (6) Working restrictions (if any), and (7) Details of permission to engage in activities other than that permitted under the status of residence previously granted (if any)."
What is the period of validity for resident cards in Japan?,"Resident cards are valid for certain periods. For those 16 or older, the card is valid for 7 years from the date of issue. For non-permanent residents, the card is valid until the expiration date of their period of stay. For those under 16, the card is valid until their 16th birthday."
What happens if the information on a resident card changes?,"If any of the details on a resident card change, such as the bearer's identity, address, or status of residence, the bearer is required to notify the authorities."
Can foreign nationals with temporary visitor status in Japan obtain a resident card?,"No, foreign nationals with temporary visitor status are not eligible for a resident card."
Are diplomats and officials in Japan eligible for a resident card?,"No, diplomats and officials in Japan are not eligible for a resident card."
What is the difference between a resident card and a residence card?,"The terms ""resident card"" and ""residence card"" are often used interchangeably, but they refer to the same document in the context of this information."
Can foreign nationals with no resident status in Japan obtain a resident card?,"No, foreign nationals with no resident status are not eligible for a resident card."
What is the purpose of the residency management system for foreign nationals in Japan?,"The residency management system for foreign nationals in Japan is designed to manage and monitor the status of foreign nationals residing legally in Japan for the mid- to long-term. The system issues resident cards to these individuals, which serve as a form of identification and contain important information about their stay in Japan."
What is the deadline for mid- to long-term residents to file notification of place of residence after establishing a place of residence in Japan?,Mid- to long-term residents must visit the municipal office where they live with their resident card (or passport if a resident card was not issued at the time of entry to Japan) to file notification of place of residence within 14 days of establishing a place of residence.
What is the deadline for mid- to long-term residents to file notification of place of residence after changing their place of residence?,Mid- to long-term residents who have changed their place of residence must visit their new municipal office with their resident card to file notification of their place of residence within 14 days of moving to the new residence.
What type of notifications regarding resident cards are there?,There are two types of notifications regarding resident cards: notification of place of residence and notification of items other than place of residence.
What documents are required when filing notifications or applications related to resident cards?,"When filing any of the following notifications or applications, foreign nationals are required to bring their passport, photo, and resident card."
"What is the deadline for filing a notification of change of name, date of birth, sex, or nationality/region?","Notification must be filed within 14 days of the change of name, date of birth, sex, or nationality/region."
Who can file notifications or applications on behalf of a mid- to long-term resident if they are unable to do so?,"If the individual is under the age of 16 or unable to do so because of illness, etc., a co-resident family member must file the notification or application on his/her behalf."
Who can complete procedures related to notifications and applications on behalf of a mid- to long-term resident if approved by the director of a regional immigration bureau?,"A legal representative or any of the following persons may submit documents or complete other procedures related to notifications and applications on behalf of the individual: an employee of a host institution or charitable corporation approved by the director of a regional immigration bureau, an attorney or an administrative scrivener (gyoseishoshilawyer) who files a notification regarding documents submission with the director of a regional immigration bureau by way of the bar association or administrative scrivener association to which the attorney or administrative scrivener belongs. In certain cases, family members, cohabitants, and persons equivalent to cohabitants of the individual who have been approved by the director of a regional immigration bureau may also complete procedures related to notifications and applications on behalf of the individual."
What is the deadline for a permanent resident or a foreign resident of Japan younger than 16 years old to apply to update the period of validity of their resident card?,A permanent resident or a foreign resident of Japan younger than 16 years old whose resident card expires on his/her 16th birthday is required to apply to renew the period of validity of the resident card before it expires.
What is the deadline for applying for re-issuance of a resident card after loss or theft?,"In case of loss or theft of a resident card, foreign residents must apply for re-issuance within 14 days of noticing this (or the day of reentry to Japan if noticed outside Japan)."
What is the deadline for a mid- to long-term foreign resident to notify the regional immigration bureau of changes in their organization or status?,The deadline for a mid- to long-term foreign resident to notify the regional immigration bureau of changes in their organization or status is within 14 days.
Which methods can a mid- to long-term foreign resident use to file the necessary notifications?,"A mid- to long-term foreign resident can file notifications by visiting a regional immigration bureau (bringing their resident card), posting notification to the Tokyo Regional Immigration Bureau (enclosing a photocopy of their resident card), or submitting notification online using the ""Immigration Bureau's Electronic Notification System."""
"What is the purpose of the ""Notification regarding organization to which foreign resident belongs""?","The purpose of the ""Notification regarding organization to which foreign resident belongs"" is to inform the regional immigration bureau of any changes in the organization (employer or educational institution) that a mid- to long-term foreign resident is affiliated with, such as leaving the organization, moving to another organization, or changes in the organization's name, location, or status."
"What is the purpose of the ""Notification regarding spouse""?","The purpose of the ""Notification regarding spouse"" is to inform the regional immigration bureau of any changes in a mid- to long-term foreign resident's marital status, specifically if they lose their spouse by death or divorce."
"Which types of resident status are required to file the ""Notification regarding organization to which foreign resident belongs""?","Mid- to long-term foreign residents with ""Engineer/Specialist in Humanities/International Services"" or another working status (excluding ""Artist,"" ""Religious Activities,"" and ""Journalist""), or ""Student"" or another learning status are required to file the ""Notification regarding organization to which foreign resident belongs."""
